Date of Article,Company / Person,Followers,text,PTR Sentiment,Flair Sentiment,Flair Score
11/26/2024,TSMC,"628,491 followers","Join the TSMC Corporate Planning Associate Program!   When TSMC navigates the global stage, our Corporate Planning Organization (CPO) is the guiding compass, charting the course and overcoming obstacles!  As part of our CPO team, you'll dive into diverse and dynamic tasks, including:  🔸 Expanding our global footprint and optimizing operational resources  🔸 Forecasting demand and maximizing capacity utilization  🔸 Optimizing operational output and ensuring timely delivery  🔸 Crafting innovative advanced packaging supply chain management solutions  🔸 Providing in-depth business intelligence to inform strategic decisions  🔸 Streamlining processes across departments to deliver robust system solutions  Don't miss this unique opportunity to make an impact and grow your career. Apply now:",0.5291,POSITIVE,0.9995
11/26/2024,TSMC,"628,491 followers","""It's just great to have face-to-face technical exchanges with engineers who're tackling design challenges every day!""  What could be more rewarding than receiving feedback like this? The energy and engagement at the secondJapan OIP Forum was simply amazing!  The day opened with an inspiring keynote from Mr. Makoto Onodera, President of TSMC Japan, who highlighted the transformative impact of AI across industries, with special emphasis on the automotive sector, a vital industry to Japan. This theme resonated perfectly with the following presentation by Mr.of, who flew in specially to share insights about their innovative R-Car platform, which addresses a wide range of embedded processing needs for automotive applications and embedded cutting-edge AI for safer and smarter roads. The R-Car platform showcased the remarkable possibilities when semiconductor innovation meets automotive excellence. TSMC is deeply honored to continue our long-term collaboration with Renesas in this space.  Mr., Head of OIP Ecosystem, built on these themes in his keynote, emphasizing the crucial synergy between IP, EDA, and 3DFabric alliances. His presentation illuminated how this collaboration enables greater 3DIC innovation, while highlighting AI's emerging role in optimizing design parameters and enhancing overall productivity.  The power of collaboration was demonstrated at its utmost throughout the day. Partners and customers shared valuable insights through their presentations, showcasing innovative design solutions. Meanwhile, the partner pavilion became a vibrant hub of activity, where direct engineer-to-engineer discussions sparked new ideas and deepened technical understanding. That's exactly why we created this forum and why we'll keep returning to Tokyo and the other stops of our global OIP tour.  Get ready to connect and innovate at our exciting OIP Ecosystem Forums! 🔹 Taiwan: 11/6 (Wed) at Sheraton Hsinchu Hotel 🔸 China: 11/13 (Wed) at Hyatt Regency Beijing Wangjing 🔹 Europe: 11/19 (Tue) at Hilton Amsterdam Airport Schiphol  We can't wait to see you there! Register Now:",0.5196,POSITIVE,0.9998
11/26/2024,TSMC,"628,491 followers","TSMC is excited to announce our latest ESG programs, ""Discover Your True Calling in ESG"" and ""ESG Parkour""! These programs aim to inspire our employees’ interest in ESG through interactive psychological tests and parkour challenges. With 44,764 global participants and 138,417 parkour experiences, TSMCers are engaging deeply with ESG values. Click to learn more!",0.5078,POSITIVE,0.9976
11/26/2024,TSMC,"628,491 followers","On October 18th, the Global Family@tsmc ERG, in collaboration with TSMC's Diversity, Equity and Inclusion team, hosted a Cross-Cultural Celebration at the TSMC R&D Center. The event brought together over 200 colleagues from across the globe, highlighting the rich tapestry of cultures within TSMC.  International colleagues and dedicated ERG volunteers curated a diverse array of activities, offering a feast for the senses with music, food, sports, art, and storytelling. Each element was thoughtfully designed to showcase the unique beauty of various cultures, fostering an environment of unity and appreciation.  TSMC is deeply committed to nurturing a diverse and inclusive workplace where differences are not just acknowledged but celebrated.",0.5084,POSITIVE,0.9996
11/26/2024,TSMC,"628,491 followers","TSMC is enhancing intellectual property protection with our ""Trade Secret Sustainable Intelligent Management Center,"" launching innovative systems to safeguard trade secrets. In September, the Center debuted at the inaugural ""Trade Secret Intelligent Management Alumni Association"" to foster sustainable innovation and competitive advantage across the sector! Click to learn more!",0.5193,POSITIVE,0.9958
11/26/2024,TSMC,"628,491 followers","At TSMC, we care about preserving traditional Chinese opera. With initiatives like ""Tales from Chinese Opera,"" ""Chinese Opera on Campus,"" and ""TSMC Theater,"" we inspire youth appreciation for the arts and support our cultural heritage thrives. Click to learn more!",0.5027,POSITIVE,0.9961
11/26/2024,TSMC,"628,491 followers","Tomorrow is the day! 2024 TSMC Japan OIP Forum is back for the second year in Tokyo! After September's successful kickoff of the 2024 TSMC global OIP events in North America, we're excited to begin the Asian leg of the tour.  Here in Tokyo, we're ready to explore the intersection between AI, Automotive, and chip design. Start your day with morning coffee overlooking the iconic Tokyo Tower, and leave inspired, with bright ideas that will shine as brilliantly as the winter lights soon to illuminate Tokyo’s streets.  We can’t wait to see you at the most important event of the OIP community.",0.5275,POSITIVE,0.9999
11/26/2024,TSMC,"628,491 followers","As AI and HPC demands soar, TSMC is committed to advancing our 3D Silicon Stacking and Advanced Packaging technologies and expanding our capacity to meet customers' growing needs.  Don't miss this exclusive keynote! Our Executive VP and Co-COO Y.P. Chyn will highlight our TSMC 3DFabric® capacity expansion plan and our total solution for system integration to unleash customers’ innovations for AI.  Swipe to learn more about how we're shaping the future of AI! 👉",0.5366,POSITIVE,0.9975
11/26/2024,TSMC,"628,491 followers","On October 19th,  hashtag #JASM partnered with JA Kikuchi and Kikuyo Town in  hashtag #Kumamoto Prefecture,  hashtag #Japan, for a heartwarming Rice Harvesting Event. The gathering united JASM employees and their families to support local rice farming and groundwater conservation while nurturing strong bonds.  Building on the success of JASM’s rice planting event in June, our volunteers enjoyed harvesting the rice under the expert guidance of local farmers. After the harvest, the rice fields will be poured with water during the winter. Kumamoto’s soil allows the water in the rice fields to easily seep underground to be stored as groundwater. JASM also supports regional efforts by purchasing local rice for its cafeteria. This unique local initiative underscores JASM's dedication to .",0.5092,POSITIVE,0.9978
11/26/2024,TSMC,"628,491 followers","What if asking ""What if?"" could change the world? At TSMC R&D, we're eager to join forces with visionaries like you to create a future fueled by innovation and dreams. Turn your imagination into reality with TSMC R&D. Join TSMC and help redefine what's possible.  🔗U.S. Opportunities: 🔗Headquarters Opportunities:",0.5121,POSITIVE,0.9981
11/26/2024,TSMC,"628,491 followers","TSMC is dedicated to addressing Taiwan's aging population challenges through its Charity Foundation which provides medical care, meal delivery, and transportation for the elderly. Initiatives like the ""Aging Community Care Model"" and ""Smart Fitness Clubs for Seniors"" leverage AI and cross-industry collaboration to enhance elderly health and mobility. Click to learn more!",0.5151,POSITIVE,0.9863
11/26/2024,TSMC,"628,491 followers","At TSMC, we actively cultivate semiconductor talent through our ""DNA Summer Internship Program."" In alignment with TSMC's global expansion strategy, we proudly welcomed a record 813 university juniors this year, including 154 international students. To harness the benefits of diversity, we incorporated cross-cultural activities aimed at unleashing the unique potential of our interns. Looking ahead, TSMC plans to broaden both recruitment efforts and the geographic scope of our internship program to bridge academic knowledge and industry expertise to foster global technological innovation. Click to learn more!",0.531,POSITIVE,0.9992
11/26/2024,TSMC,"628,491 followers","We are on the lookout for talented individuals from Singapore and Malaysia to join our team. Whether you're seeking full-time positions or internships, this is your chance to be part of a pioneering company at the forefront of technology.   Don't miss this opportunity to our upcoming virtual sessions where you can discover incredible opportunities at TSMC. Save the dates: 📅 November 4 📅 November 6 📅 November 12   📌Sign up for career talk: 📌Full-time opportunities: 📌Internship:",0.5337,POSITIVE,0.988
11/26/2024,TSMC,"628,491 followers","TSMC enhances the customer experience by launching its FTP Account Service on TSMC-Online™, reducing FTP account setup time from 3.5 days to 12 seconds. With improved security under the Proprietary Information Protection mechanism, we're enabling faster, safer data transfers. Click to learn more!",0.5213,POSITIVE,0.9987
11/26/2024,TSMC,"628,491 followers","This past Saturday, nearly 4000 TSMC employees and their families, spanning all ages from young children to parents and grandparents, came together for the annual  hashtag #TSMCArizona Family Day. Joining TSMC Arizona CEO Y.L. Wang and President Rose Castanares was TSMC EVP and Co-COO Y.P Chyn. Y.P. took a moment to recognize the incredible progress made by TSMC Arizona’s employees and extended a heartfelt thank you to all family members for their invaluable support.  Throughout the day, guests were treated to raffle prizes, TSMC trinkets, and a hosted lunch with breakfast treats and food trucks. The office was open for families to tour, and many enjoyed games and interactive stations spread out over five different floors. The most popular activities were the “cleanroom experience” where guests donned cleanroom suits for family photos – and also a bus tour of the TSMC Arizona fab campus. It was a fabulous day filled with fun, connection and appreciation, and it was our absolute honor to welcome and celebrate our TSMC Arizona families!",0.512,POSITIVE,0.9973
11/26/2024,TSMC,"628,491 followers","We are thrilled to unveil the last video in our TSMC Arizona series: ""Inside TSMC Arizona: A Glimpse into Our Cutting-Edge Work Environment.""  Explore our state-of-the-art facilities, from our cutting-edge fab to our vibrant canteen, and see what makes TSMC Arizona a fantastic place to work.  🔗U.S. Opportunities: 🔗Headquarters Opportunities:",0.5087,POSITIVE,0.9998
11/19/2024,TSMC,"628,491 followers","We embrace AI, yet the heart of the AI revolution lies in having sufficient transistors. This trend has made advanced packaging and 3D integration essential technological solutions. At TSMC, we're thrilled to offer our integrated AI platform—a system-level, energy-efficient solution optimized for AI development.  Don't miss this conversation with TSMC's SVP and Deputy Co-COO, Dr. Kevin Zhang. In this podcast episode, he reveals the secrets behind our integrated AI platform and explains why this solution is ideally suited to accelerate AI scaling.  Tune in now for this insightful talk!",0.543,POSITIVE,0.9996
11/19/2024,TSMC,"628,491 followers","TSMC’s Internship Program offers more than just experience—it provides mentorship, growth, and a supportive environment. Through our unique buddy system, newcomers are paired with full-time employees who serve as mentors, guiding them through their journey at TSMC. Plus, don’t miss our campus recruitment this fall! Join us and be part of an innovative and supportive community. TSMC 2024 US Campus Recruitment:",0.5173,POSITIVE,0.9992
11/19/2024,TSMC,"628,491 followers","TSMC is dedicated to fostering Diversity, Equity, and Inclusion (DEI) throughout our supply chain. We've strengthened our partners' capabilities with a comprehensive series of online courses and recently hosted TSMC's first DEI symposium that brought together over 200 suppliers. At this event, we shared our journey in advancing and establishing Employee Resource Groups (ERGs).  We were also joined by esteemed suppliers likeand, who provided valuable insights into their DEI achievements and challenges. Inspired by the collective wisdom shared, one supplier partner noted, ""The scope of DEI is far broader than I had envisioned. Thank you, TSMC, for generously sharing your knowledge. It has been incredibly beneficial.""",0.5119,POSITIVE,0.9964
11/19/2024,TSMC,"628,491 followers","Are you interested in discovering how TSMC addresses Environmental, Social, and Governance (ESG) concerns at a glance? Our 2023 Sustainability Report Highlights and video are now live! Click to learn how TSMC drives positive change one ripple at a time.",0.5165,POSITIVE,0.9971
11/19/2024,TSMC,"628,491 followers","At the intersection of AI and silicon, where openness meets innovation, the TSMC 2024 North America OIP Ecosystem Forum welcomed a record-breaking attendance this week! Together, the ecosystem unveiled the future of chip design and the power of collaboration, with AI as a vital ally.  David Keller, President & CEO of TSMC North America, kicked off the event by drawing a powerful analogy between the Olympic spirit and the OIP forum. Much like the Olympics, the OIP ecosystem thrives on openness, which allows us to reach new heights and push the boundaries of what’s possible in AI and next-gen chip design. Our mission is clear: to challenge the limits and advance the future of computing.  Our keynote speaker, Dr. LC Lu, TSMC Fellow and Vice President for Design and Technology Platform, highlighted the progress of AI Optimized Design. Dr. Lu also announced a major milestone for the 3Dblox standard. That is, the TSMC 3Dblox committee plans to make the standard publicly available throughto further drive innovation in 3DIC design environments. Again, much like the Olympics, the OIP featured an awards ceremony. During his keynote, Dr. Lu announced the 2024 TSMC OIP Partner of the Year Awards, expressing gratitude to these integral members of our ecosystem. Congratulations once again to,,EDA,,,,,,,,,,,, and IBIDEN for their outstanding contributions!  Guest speaker Dr.fromcaptivated the audience with his talk, ""Sustainable Silicon to Intelligent Clouds: Collaborating on the Future of Computing."" We extend our gratitude to Dr. Ranganathan for his presence and for sharing his vision with us.  We were also privileged to hear from Prof.of, who spoke on ""The Future of Hardware Technologies for Computing,"" marking the first North American university presentation at the forum. Both speakers illustrated a future where continuous semiconductor innovations are crucial for the advancement of computing.  And that's not all! Attendees were treated to deep dives into TSMC 3DFabric, energy-efficient advanced technologies, and AI-powered EDA solutions brought by three TSMC speakers. The day was also packed with 37 technical presentations across three tracks and a vibrant exhibition featuring 47 partner booths.  This successful kickoff of the 2024 OIP Global Tour sets the stage for exciting events to come. Our next stop is Tokyo on October 25th, as we continue to showcase how our shared vision and technological advancements know no borders.",0.5297,POSITIVE,0.9997
11/19/2024,TSMC,"628,491 followers","TSMC focuses on building employee wellness. As the first company in Taiwan to receive ISO 20121 certification for sustainable event management for our Sports Day, this year, we partnered with ERGs like Women@tsmc and Global Family@tsmc to engage 20,924 employees participating in the ""Virtual Walking Challenge."" Together, let’s cultivate a healthier and more inclusive workplace. Click to learn more!",0.5447,POSITIVE,0.9901
11/19/2024,TSMC,"628,491 followers","Together with our Open Innovation Platform (OIP) partners, we are at the forefront of the 3D IC design ecosystem advancement, accelerating next-generation semiconductor design and fueling AI innovation. Together with our OIP partners, we are utilizing AI and ML to significantly improve 3D IC design productivity and optimize design power, performance, area (PPA), and quality of results (QoR). Together with our OIP partners, we are tackling the multi-physics challenges inherent in 3D IC architectures, enabling chip innovators to achieve precise and optimized designs using the latest TSMC technologies.  The 3Dblox committee is also working with, the world’s largest technical professional organization, to make the 3Dblox standard publicly available, further boosting advancements in the 3D IC design ecosystem and fostering AI innovation around the world!  Read more from this year’s event:",0.5292,POSITIVE,0.9991
11/19/2024,TSMC,"628,491 followers","Tomorrow is the day! Join us at the Santa Clara Convention Center for the 2024 TSMC North America OIP Ecosystem Forum, the kickoff event of our global OIP tour.  Don’t miss this chance to experience the semiconductor revolution firsthand — where openness meets innovation and collaboration sparks breakthroughs. Connect with industry leaders, explore cutting-edge AI technologies, and help shape the future of chip design — all while vying for exciting prizes!  It’s the last chance to register for the event and be part of the future:",0.5246,POSITIVE,0.9988
11/19/2024,TSMC,"628,491 followers","As we enter the new AI era, the demand for computing power is soaring. TSMC is dedicated to helping our customers to unleash innovation through our cutting-edge technologies and integrated solutions—the driving force behind the AI revolution.  Join us for an exclusive keynote by our Executive VP and Co-COO, Dr. Y.J. Mii. He'll unveil TSMC's advanced technology trends, including our latest-announced TSMC A16™. Discover how our 3D integration technologies are propelling system-level integration to unprecedented heights in AI development.  Curious about how TSMC is shaping the future of AI? Swipe through our slideshow! 👉",0.5437,POSITIVE,0.999
11/19/2024,TSMC,"628,491 followers","Countdown to the 2024 TSMC North America OIP Ecosystem Forum on September 25, 2024, at the Santa Clara Convention Center!  Don’t miss this important event for the semiconductor community. Dive into the forefront of AI-assisted design flows, chip design solutions, and silicon photonics. Gain exclusive know-how, connect with industry innovators, and be part of the next wave of technological breakthroughs with over 50 technical presentations and 47 OIP ecosystem partner exhibitions. It’s a feast of cutting-edge technologies and industry insights.  Register now to secure your spot at this pivotal event!",0.528,POSITIVE,0.9997
11/19/2024,TSMC,"628,491 followers","TSMC focuses on building a strong supply chain through initiatives like the Maintain the Old as the New project and the New Factory Construction Plan to improve suppliers' facilities, production lines, and management capabilities. By integrating standards and processes in business continuity plan, production line, quality, environmental safety and health, fire control, and green supply chain, TSMC helps suppliers enhance their adaptability to ESG and prevent non-compliance costs. Click to learn more!",0.5476,POSITIVE,0.9989
11/19/2024,TSMC,"628,491 followers","We’re thrilled to present the second video in our TSMC Arizona series: ""Inside TSMC Arizona: Leadership and Insights."" 🌟  In this video, a few of our experienced managers open up about their leadership journeys, sharing powerful stories and valuable insights that define the culture at TSMC Arizona.  And that's not all! Our campus recruitment trip is in full swing. We're visiting many U.S. universities to connect with aspiring students ready to an exciting career with TSMC. Be sure to catch us on your campus!  TSMC 2024 US Campus Recruitment:",0.5074,POSITIVE,0.9997
11/19/2024,TSMC,"628,491 followers","TSMC is committed to pushing forward cutting-edge technologies and fostering innovation. Our innovative technology platform for HPC/AI brings together industry-leading advanced logic, 3D IC, and specialty technologies to unleash the full potential of modern AI developments, making the world we live in a much better place.  Our Chairman and CEO, Dr. C.C. Wei, stated, ""At TSMC, we are offering our customers the most comprehensive set of technologies to realize their visions for AI.""  Click to learn more about TSMC's industry-leading technologies driving AI forward!",0.546,POSITIVE,0.9987
11/12/2024,TSMC,"628,491 followers","Our 2024 US Campus Recruitment Event Page is LIVE! 🌟  Discover all our event and interview schedules and explore this year’s featured job roles. This year, we're excited to announce that we’re recruiting talent not only from STEM backgrounds but also from business and other professional fields!  Visit our Event Page for all the details and to register:",0.5388,POSITIVE,0.9945
11/12/2024,TSMC,"628,491 followers","As we embrace a new era of AI, what fundamental values underpin AI development in the semiconductor industry?  Join us for an exclusive conversation with TSMC's Chairman and CEO, Dr. C.C. Wei, in this episode of the ""Powering AI Innovation with TSMC"" podcast.  Discover TSMC's unique strengths and its pivotal role in advancing AI beyond sheer capacity—tune in now!",0.5503,POSITIVE,0.9993
11/12/2024,TSMC,"628,491 followers","Are you an experienced professional looking for your next big career move? JASM is expanding and we want YOU to join our innovative team! We're hiring for exciting roles in Engineering, Fab Management, Human Resources, Finance, Legal, IT...and more! If you are curious about what JASM has to offer, don’t miss our exclusive mid-career webinar on Sept. 13 (JST). This is your chance to dive deep into JASM’s vibrant culture, comprehensive relocation support, dynamic career paths, and discover the many benefits of becoming part of the JASM family.  🔗 Secure Your Spot:  Elevate your career to new heights with JASM. We can't wait to meet you and explore the future together!",0.519,POSITIVE,0.9966
11/12/2024,TSMC,"628,491 followers","On August 20th,  hashtag #ESMC - TSMC's joint venture with Bosch, Infineon Technologies, and NXP Semiconductors - held a groundbreaking ceremony for its first semiconductor fab in , . With total investments over €10B, backed by strong support from the EU and German government, the project will bolster ’s ecosystem and economy, creating around 2,000 high-tech jobs and numerous indirect jobs across the EU supply chain.  Committed to , ESMC aims to construct a green fab with energy-efficient designs, water reclamation, and LEED certification. Construction is set to begin later this year.  To learn more about ESMC, visit:",0.5288,POSITIVE,0.9985
11/12/2024,TSMC,"628,491 followers",We’re excited to announce our fall university campus visit schedule! The TSMC team is eager to meet passionate students and graduates who are ready to shape the future of technology with us. Check out the campus events near you and connect with us to learn more about what makes TSMC a great place to start your career.  TSMC 2024 US Campus Recruitment 🔗 Event Registration: 🔗 U.S. Opportunities: 🔗 Headquarters Opportunities:  Let’s create the future together!,0.5136,POSITIVE,0.9979
11/12/2024,TSMC,"628,491 followers","Get ready for a transformative event that will spark innovations of today and tomorrow's semiconductor designs at the 2024 TSMC Global Open Innovation Platform (OIP) Ecosystem Forum!  This year’s forum is set to ignite excitement with a focus on how AI is transforming chip design and the latest advances in 3DIC system design. Join industry trailblazers and TSMC’s ecosystem partners for an inside look at the latest innovations and breakthroughs.  Through a series of compelling, multi-track presentations, you’ll witness firsthand how the ecosystem is collaborating to address critical design challenges and leverage AI in chip design processes.  Engage with thought leaders and innovators at this unique event, available both in-person and online across major global locations, including North America, Japan, Taiwan, China, Europe, and Israel.  Don’t miss out on this opportunity to connect with the forefront of semiconductor technology. Registration now open at",0.5295,POSITIVE,0.9996
11/12/2024,TSMC,"628,491 followers","TSMC 2024 & 2025 Arizona internship? Co-op, and full-time new graduate Opportunities: https://tsmcaz.info/ustrip  Email us today!",0.5468,NEGATIVE,0.5009
11/12/2024,TSMC,"628,491 followers","JASM focuses on building positive relationships with local communities by championing eco-friendly manufacturing initiatives, supporting local sports teams, engaging in charitable activities, and contributing to disaster relief efforts in Kumamoto. In June, the company partnered with the TSMC Education and Culture Foundation to sponsor Taiwan's orchestra in Japan, blending Taiwanese and Japanese cultural aspects through the universal language of music. Click to learn more!",0.5277,POSITIVE,0.9948
11/12/2024,TSMC,"628,491 followers","TSMC hosted its first Supply Chain Security Workshop, focusing on Strengthening Supply Chain Information Security Management Practices. With 800+ participants, we achieved 98% satisfaction. Shoutout to our partners for diving deep into the cybersecurity pool with us! Click to learn more!",0.5289,POSITIVE,0.9993
11/12/2024,TSMC,"628,491 followers","Get an inside look at life at TSMC Arizona with our new employee testimonials video!  Hear directly from our team members about their experiences, growth, and what makes TSMC a great place to work. This fall, we're also hitting the road to visit schools across the US! Stay tuned for updates and come meet us in person.  TSMC 2024 US Campus Recruitment U.S. Opportunities: Headquarters Opportunities:  Join us in celebrating the incredible people who drive our innovation.",0.5271,POSITIVE,0.996
