Date,Video Name,Video Views,PTR Transcript Sentiment,Flair Transcript Outlook,Flair Transcript Score
12/8/2024,Draghi’s Plan to Save the EU Economy Explained,220K views,0.5299,NEGATIVE,0.8846
12/8/2024,Macron Makes Barnier PM: What Happens Now?,151K views,0.5194,POSITIVE,0.8935
12/8/2024,Why Spain's Socialists are U-Turning on Immigration,266K views,0.5206,NEGATIVE,0.8711
12/8/2024,Germany’s Historic Election Results Explained,266K views,0.5226,NEGATIVE,0.8946
12/8/2024,How Orban’s “Pro-Baby” Policies are Bankrupting Hungary,145K views,0.5252,NEGATIVE,0.9129
12/8/2024,Why Belgium Can’t Form A Government (Again),136K views,0.5246,NEGATIVE,0.9003
12/8/2024,Macron Rules Out a Leftwing Government: What Next?,170K views,0.5192,NEGATIVE,0.9015
12/8/2024,Why Germany and Poland Have Fallen Out (again),248K views,0.5253,NEGATIVE,0.9172
12/8/2024,Why Technocratic Governments Are on the Rise in Europe,169K views,0.5211,NEGATIVE,0.8997
12/8/2024,Ukraine Advances in Kursk but Retreats in Pokrovsk: What Next?,199K views,0.5202,NEGATIVE,0.9099
12/8/2024,3 Reasons Joining the EU Might Not Always be a Great Idea,116K views,0.5328,NEGATIVE,0.9048
12/8/2024,Why the Far Left Is Surging in Germany,188K views,0.518,NEGATIVE,0.9123
12/8/2024,Why Is the EU So Soft on Serbia?,152K views,0.5201,NEGATIVE,0.8924
12/8/2024,Will Meloni's Devolution Plan For Italy Backfire?,369K views,0.5228,NEGATIVE,0.8928
12/8/2024,Could the EU Ban X/Twitter?,205K views,0.5175,NEGATIVE,0.916
12/8/2024,Ukraine’s Kursk Incursion Continues: Can Russia Halt It?,427K views,0.5225,NEGATIVE,0.9192
12/8/2024,Sweden’s Crime Crisis Worsens: Will Denmark Shut the Border?,304K views,0.5199,NEGATIVE,0.9083
12/8/2024,Ukraine Occupies Kursk: What Next?,547K views,0.5171,NEGATIVE,0.9111
12/8/2024,"How Orban Wants to Change the EU to ""Make Europe Great Again""",162K views,0.5254,NEGATIVE,0.9079
12/8/2024,Why Europe is Reinstating Conscription,273K views,0.5239,NEGATIVE,0.9215
12/8/2024,Why Europe’s Economy is Doing Better than You Think,410K views,0.5307,NEGATIVE,0.9065
12/8/2024,Why Europe and America are Falling Out (it’s not just Trump),406K views,0.5243,NEGATIVE,0.9076
12/8/2024,"Why Farmers Protests are Spreading to Spain, Italy and Greece",126K views,0.5221,NEGATIVE,0.9067
12/8/2024,Why Tensions Between Italy and EU are Rising Again,226K views,0.5223,NEGATIVE,0.8959
12/8/2024,How’s Russia’s Economy Actually Doing?,279K views,0.5354,NEGATIVE,0.9126
12/8/2024,Why the EU and Serbia are Angry With Kosovo,116K views,0.519,NEGATIVE,0.9183
12/8/2024,Why France is Ending Birth Citizenship in its African Territory,404K views,0.5185,POSITIVE,0.8827
12/8/2024,Why Anti-Migrant Pushback Laws are On the Rise in Europe,322K views,0.5275,NEGATIVE,0.8929
12/8/2024,"Von der Leyen's Plans for a ""Geopolitical"" EU Explained",132K views,0.5307,POSITIVE,0.866
12/8/2024,Why Hungary's Ballooning Deficit is Bad News for Orban,283K views,0.5245,NEGATIVE,0.9103
12/8/2024,How the EU Failed the Western Balkans,206K views,0.5185,NEGATIVE,0.9139
12/8/2024,Why Poland’s Centrist Government Is Struggling,133K views,0.52,NEGATIVE,0.9065
12/8/2024,Why the Dutch Right-Wing Can’t Form a Government,200K views,0.5228,NEGATIVE,0.8878
12/8/2024,Why France Can't Form a New Government,210K views,0.5244,NEGATIVE,0.8896
12/8/2024,Will the EU Stop the French Left from Borrowing More Money?,182K views,0.5229,NEGATIVE,0.902
12/8/2024,Why the Far Right are on the Rise in Portugal,167K views,0.5219,NEGATIVE,0.8834
12/8/2024,Europe's Migration Debate Explained,131K views,0.5261,POSITIVE,0.8756
12/8/2024,France's Stunning Election Results Explained,1.3M views,0.5179,NEGATIVE,0.8862
12/8/2024,Why is Germany so Pro-Israel?,101K views,0.5254,NEGATIVE,0.8856
12/8/2024,The EU Parliament's New “Patriots for Europe” Group Explained,106K views,0.526,NEGATIVE,0.8928
12/8/2024,Who are the Most Eurosceptic Countries in the EU?,169K views,0.5208,NEGATIVE,0.9081
12/8/2024,Why Bulgaria is Headed for its 7th Election in 3 Years,209K views,0.5198,NEGATIVE,0.9021
12/8/2024,How the EU Successfully Blackmailed Hungary,240K views,0.5206,NEGATIVE,0.9111
12/8/2024,France's Insane Election Results Explained,699K views,0.5223,NEGATIVE,0.8929
12/8/2024,How Did Ireland's Housing Crisis Get So Bad?,174K views,0.5232,POSITIVE,0.9002
12/8/2024,Why is Centrism So Unpopular in France?,189K views,0.5216,NEGATIVE,0.8961
12/8/2024,How the Netherlands Soured on Immigration,383K views,0.5174,NEGATIVE,0.9015
12/8/2024,The EU Parliament’s New “Sovereignists” Group Explained,162K views,0.5288,POSITIVE,0.8917
12/8/2024,Why Macron Wants France to Have More Babies,129K views,0.523,NEGATIVE,0.9027
12/8/2024,Why has Sinn Féin’s Support Collapsed?,206K views,0.5209,POSITIVE,0.9004
12/8/2024,Why Poland’s Political Crisis is Hotting Up,198K views,0.518,NEGATIVE,0.91
12/8/2024,Why the EU Can’t Agree on a New President,194K views,0.5215,NEGATIVE,0.9047
12/8/2024,Why is Youth Unemployment So High in Southern Europe?,192K views,0.5187,NEGATIVE,0.9037
12/8/2024,Why Tensions are Flaring in the Balkans (it's not just the Euros),205K views,0.5204,NEGATIVE,0.9025
12/8/2024,France’s 3 Big Parties’ Manifestos Compared,164K views,0.5239,NEGATIVE,0.8902
12/8/2024,Why Austria’s Coalition is Suing Itself,109K views,0.5171,NEGATIVE,0.9076
12/8/2024,Why Germany's Coalition is Reaching Breaking Point,152K views,0.5189,NEGATIVE,0.9243
12/8/2024,Is France Headed for a “Liz Truss” Moment?,316K views,0.5283,NEGATIVE,0.9019
12/8/2024,How Will France's Political Chaos Affect the Polls?,185K views,0.5165,NEGATIVE,0.8897
12/8/2024,EU Elections: Why the Left Did Surprisingly Well in the Nordics,251K views,0.5236,POSITIVE,0.8923
12/8/2024,EU Elections: Why did Orban and Fico Underperform?,164K views,0.5171,POSITIVE,0.9169
12/8/2024,Why Macron Called a Snap Election,237K views,0.5175,NEGATIVE,0.8962
12/8/2024,The EU Parliament Election Results Explained,582K views,0.5214,POSITIVE,0.882
12/8/2024,Why are Gen Z Europeans Voting for the Far Right?,268K views,0.5231,NEGATIVE,0.8936
12/8/2024,France's Debt Gets Downgraded: Is France Becoming the Next Italy?,156K views,0.5281,NEGATIVE,0.913
12/8/2024,Why the EU's Right-Wing Groups Are Fighting Over Meloni,211K views,0.5212,POSITIVE,0.8862
12/8/2024,"Why Orban Wants to ""Redefine"" Hungary's NATO Membership",210K views,0.5189,NEGATIVE,0.9157
12/8/2024,Why France’s Overseas Territories Really Don't Like Macron,129K views,0.5231,NEGATIVE,0.9048
12/8/2024,Is the Netherlands Now Europe’s Most Right-Wing Government?,348K views,0.524,NEGATIVE,0.9053
12/8/2024,Has Macron Triggered a Civil War in New Caledonia?,411K views,0.5235,NEGATIVE,0.9084
12/8/2024,Why is Germany’s Crime Rate Soaring?,203K views,0.5312,NEGATIVE,0.9074
12/8/2024,Russia Opens a Second Front in Kharkiv: What Next?,158K views,0.5197,NEGATIVE,0.9007
12/8/2024,Why Spain's Socialist Party Won the Catalan Elections,129K views,0.5208,NEGATIVE,0.9179
12/8/2024,Why Europe’s Right-Wing is More Divided Than You Think,233K views,0.5253,POSITIVE,0.892
12/8/2024,Which European Countries are Most Pro-China?,171K views,0.5249,NEGATIVE,0.9017
12/8/2024,The UK-Ireland Migrant Dispute Explained,108K views,0.5229,NEGATIVE,0.9176
12/8/2024,Why Austerity is Returning to Europe,157K views,0.5235,NEGATIVE,0.9182
12/8/2024,Is Georgia on the Cusp of a Colour Revolution?,186K views,0.5219,NEGATIVE,0.8978
12/8/2024,Why Macron Thinks “Europe Could Die”,309K views,0.5244,NEGATIVE,0.8745
12/8/2024,How Spain Became the IMF’s Favourite European Economy,200K views,0.5341,NEGATIVE,0.9088
12/8/2024,Why Europe Needs Higher Wages,356K views,0.5257,NEGATIVE,0.8989
12/8/2024,Why Norway is Shifting Right,239K views,0.5252,NEGATIVE,0.9101
12/8/2024,Why Separatists are on the Rise in Spain,148K views,0.5192,POSITIVE,0.8914
12/8/2024,Why Southern Europe is Finally Outperforming Northern Europe,399K views,0.5305,NEGATIVE,0.8992
12/8/2024,Is the EU About to Recognise Palestine?,125K views,0.5232,NEGATIVE,0.8901
12/8/2024,Did Slovakia Just Elect a Pro-Russian President?,132K views,0.5189,NEGATIVE,0.9039
12/8/2024,Why Hungary Wants Turkey to Join the EU,133K views,0.5219,POSITIVE,0.8942
12/8/2024,Why a Far-Right Separatist Party is on the Rise in Belgium,366K views,0.5217,POSITIVE,0.8797
12/8/2024,How Russia is Losing its Grip on the Caucasus,170K views,0.5181,NEGATIVE,0.9063
12/8/2024,What Happened to France’s Left-Wing?,262K views,0.5167,NEGATIVE,0.8876
12/8/2024,How Meloni Is Trying to Reshape the EU,266K views,0.5226,POSITIVE,0.8718
12/8/2024,Have Serbia and the EU Fallen Out For Good?,199K views,0.5171,NEGATIVE,0.8971
12/8/2024,Has Putin’s Surprisingly Liberal Immigration Policy Backfired?,186K views,0.5212,NEGATIVE,0.9144
12/8/2024,Moscow Massacre: How Will Russia Respond?,108K views,0.5191,NEGATIVE,0.9369
12/8/2024,Why Armenia Wants to Join the European Union,192K views,0.5232,NEGATIVE,0.8853
12/8/2024,What Were the Actual Results in Russia’s Election?,175K views,0.5201,NEGATIVE,0.9095
12/8/2024,How Turkey is Winning the War for the Black Sea,304K views,0.5236,POSITIVE,0.9083
12/8/2024,How Hungary Ran out of Friends and Money,213K views,0.5244,POSITIVE,0.9242
12/8/2024,How Macron Became the Ultimate Ukraine Hawk,353K views,0.5241,NEGATIVE,0.9141
12/8/2024,Why Italy’s Economy is Doing Surprisingly Well,690K views,0.5218,POSITIVE,0.9097
12/8/2024,What's Gone Wrong with Sweden's Economy?,215K views,0.5272,NEGATIVE,0.9271
12/8/2024,Portugal's Election: Another Win for the Right in Europe,278K views,0.5184,NEGATIVE,0.8976
12/8/2024,Could a Russia-Nato War Really Happen?,246K views,0.5215,NEGATIVE,0.9007
12/8/2024,Is Poland Ditching the Visegrad Group for France and Germany?,270K views,0.5234,POSITIVE,0.9148
12/8/2024,Why Croatia's Government Was Just Dissolved,197K views,0.5195,NEGATIVE,0.9012
12/8/2024,Why 2024 Will be the Decisive Year for Ukraine,174K views,0.53,NEGATIVE,0.9076
12/8/2024,Germany’s Deindustrialisation Explained,181K views,0.5282,NEGATIVE,0.901
12/8/2024,Why France is Annoyed with Germany (Again),210K views,0.5244,NEGATIVE,0.9048
12/8/2024,Why an EU Army Looks Increasingly Likely,245K views,0.522,NEGATIVE,0.8866
12/8/2024,Armenia Ditches Putin: How France Stole Russia’s Ally,339K views,0.5254,NEGATIVE,0.9096
12/8/2024,Why is Marine Le Pen So Popular in France?,238K views,0.5205,POSITIVE,0.8922
12/8/2024,Why Orban is Facing his Toughest Ever Challenge,278K views,0.5165,NEGATIVE,0.9039
12/8/2024,Why Farmer Protests are Spreading Across Europe,279K views,0.5322,NEGATIVE,0.9067
12/8/2024,Why the Right is on the Rise in Germany,326K views,0.524,NEGATIVE,0.9016
12/8/2024,Why Do So Many Young Europeans Still Live At Home?,186K views,0.5249,POSITIVE,0.8918
12/8/2024,Why Italy is Singlehandedly Vetoing the EU's Latest Treaty (ESM),171K views,0.5245,NEGATIVE,0.9031
12/8/2024,Why the EU is Copying the UK’s Rwanda Policy,279K views,0.5226,NEGATIVE,0.9123
12/8/2024,Has Ireland Soured on Immigration?,328K views,0.5222,NEGATIVE,0.9093
12/8/2024,Does Poland have the Worst Demographic Crisis in Europe?,130K views,0.5263,POSITIVE,0.9014
12/8/2024,Serbia’s Election Results Explained: Vucic Wins (Again),131K views,0.5187,NEGATIVE,0.8998
12/8/2024,Why is Macron So Unpopular?,197K views,0.5239,NEGATIVE,0.9173
12/8/2024,Why Hungary is Threatening to Block Ukraine’s EU Accession,107K views,0.5192,NEGATIVE,0.9067
12/8/2024,Why Serbia Cannot Decide Between East and West,186K views,0.5239,POSITIVE,0.8994
12/8/2024,Why the EU Wants to Restart Cyprus Negotiations,149K views,0.5206,NEGATIVE,0.8898
12/8/2024,Could Protests Bring Down Spain’s New Government?,156K views,0.5198,NEGATIVE,0.8828
12/8/2024,Which Country Will Join the EU Next?,234K views,0.5208,POSITIVE,0.8997
12/8/2024,Why Italy's Demographic Crisis is Getting Worse,414K views,0.5204,NEGATIVE,0.907
12/8/2024,Why is Sweden’s Crime Rate Soaring?,386K views,0.523,NEGATIVE,0.8966
12/8/2024,Why Germany’s Coalition Can’t Pass its Budget,134K views,0.5217,NEGATIVE,0.9019
12/8/2024,Why the Nationalist Right is on the Rise in Romania,221K views,0.521,NEGATIVE,0.8894
12/8/2024,TLDR News: We Made a Physical Newspaper,15K views,0.5274,POSITIVE,0.8981
12/8/2024,The Netherlands' Election Explained: How the Right Won,509K views,0.5271,POSITIVE,0.8919
12/8/2024,Which EU Countries are Most Pro-Israel?,267K views,0.5201,NEGATIVE,0.9107
12/8/2024,France’s New Immigration Bill Explained,401K views,0.523,NEGATIVE,0.9034
12/8/2024,Is Meloni’s Constitutional Reform a “Power Grab”?,124K views,0.5218,NEGATIVE,0.9003
12/8/2024,Why Germany is Souring on Immigration,650K views,0.5216,NEGATIVE,0.8894
12/8/2024,Why Ireland is the Most Pro-Palestine EU State,791K views,0.5153,NEGATIVE,0.9089
12/8/2024,Why Did Portugal's PM Just Resign?,219K views,0.5215,NEGATIVE,0.9117
12/8/2024,Is the Schengen Area Collapsing?,260K views,0.5223,NEGATIVE,0.8971
12/8/2024,Ukraine's Catastrophic Fertility Crisis Explained,161K views,0.5242,NEGATIVE,0.9058
12/8/2024,Why Giorgia Meloni’s Popularity is Fading,309K views,0.5271,NEGATIVE,0.889
12/8/2024,The EU’s Migration Crisis Explained,405K views,0.5255,NEGATIVE,0.8991
12/8/2024,Why Germany is Still Divided 30 Years Later,215K views,0.527,NEGATIVE,0.8947
12/8/2024,Russia Assaults Avdiivka: Can Ukraine Hold On?,188K views,0.5263,NEGATIVE,0.9019
12/8/2024,What does Tusk’s Victory Mean for Poland and the EU?,462K views,0.5192,NEGATIVE,0.8982
12/8/2024,Did Someone Blow Up the Finland-Estonia Gas Pipeline?,118K views,0.5347,NEGATIVE,0.9238
12/8/2024,How Israel Strengthens Macron's Case for 'Strategic Autonomy',136K views,0.519,NEGATIVE,0.9013
12/8/2024,Will Corsica Finally Get Autonomy from France?,164K views,0.5212,POSITIVE,0.893
12/8/2024,How Bad Politics is Exacerbating Germany's Economic Crisis,164K views,0.5281,NEGATIVE,0.9141
12/8/2024,Why is Inflation Rising In Russia?,159K views,0.5295,NEGATIVE,0.9249
12/8/2024,Why the Kosovo-Serbia Crisis is Getting Worse,294K views,0.5205,NEGATIVE,0.9164
12/8/2024,The Plan for a Multi-Tier Europe Explained,417K views,0.5248,POSITIVE,0.8903
12/8/2024,Is Spain Heading For Another Election?,160K views,0.5195,NEGATIVE,0.877
12/8/2024,How Will Poland’s Visa Scandal Affect the Election?,137K views,0.5164,NEGATIVE,0.9147
12/8/2024,Why Poland and Ukraine Have Fallen Out,154K views,0.5229,NEGATIVE,0.914
12/8/2024,Will High Oil Prices Restart Europe’s Energy Crisis?,98K views,0.5313,NEGATIVE,0.9093
12/8/2024,How a New Pro-Russian Party Could Disrupt German Politics,186K views,0.5166,NEGATIVE,0.8973
12/8/2024,Poland's Plan to Become a Military Superpower Explained,96K views,0.5233,NEGATIVE,0.8985
12/8/2024,Why the EU Needs to Expand,282K views,0.5271,POSITIVE,0.8943
12/8/2024,Why Turkey and Greece are Repairing Relations,183K views,0.5311,POSITIVE,0.905
12/8/2024,How a Pro-Russia Party Could Win Slovakia’s Election,134K views,0.5264,NEGATIVE,0.8962
12/8/2024,Why Buddying Up to North Korea is a Risk for Russia,254K views,0.5299,NEGATIVE,0.8959
12/8/2024,Europe’s Fertility Crisis Explained,454K views,0.5218,NEGATIVE,0.8948
12/8/2024,Are Europeans Really Becoming More Right-Wing?,260K views,0.5228,NEGATIVE,0.8623
12/8/2024,How (Another) New Party Could Win the Dutch Election,221K views,0.5288,NEGATIVE,0.8805
12/8/2024,Why are European Rents Skyrocketing?,285K views,0.5365,NEGATIVE,0.883
12/8/2024,Why Estonia’s Government is About to Collapse,192K views,0.5335,NEGATIVE,0.9158
12/8/2024,Why Russia’s Economic Inequality is Getting Worse,149K views,0.5298,NEGATIVE,0.9094
12/8/2024,Is Ukraine Becoming a Long War?,172K views,0.5221,NEGATIVE,0.9118
12/8/2024,"What Prigozhin’s Death Means for Russia, Ukraine and Africa",289K views,0.5205,NEGATIVE,0.9083
12/8/2024,Why the Far-Left and Far-Right are Surging in Austria,221K views,0.5263,NEGATIVE,0.9005
12/8/2024,Who are the Least Popular Leaders in Europe?,220K views,0.527,NEGATIVE,0.9294
12/8/2024,Why is the US Economy Outperforming the EU?,368K views,0.5368,NEGATIVE,0.911
12/8/2024,Germany's Economic Crisis Explained,298K views,0.5236,NEGATIVE,0.9289
12/8/2024,Why is the Ruble (Still) Declining?,339K views,0.5344,NEGATIVE,0.9255
12/8/2024,How Poland's Election Could Change Europe,442K views,0.5207,NEGATIVE,0.8817
12/8/2024,Will the Right Win the European Parliamentary Election?,199K views,0.5226,POSITIVE,0.8885
12/8/2024,If Zelenskyy Was Assassinated... What Would Happen?,119K views,0.5202,NEGATIVE,0.9028
12/8/2024,Could Spain become Europe’s Energy Hub?,335K views,0.5283,POSITIVE,0.9088
12/8/2024,Could Wagner Occupy the Suwalki Gap?,284K views,0.5202,NEGATIVE,0.902
12/8/2024,Is Russia Preparing for a Second Mobilisation?,263K views,0.5233,NEGATIVE,0.908
12/8/2024,How Meloni Became the Most Popular EU Leader,466K views,0.5219,POSITIVE,0.9124
12/8/2024,Is France Heading for a Sixth Republic?,428K views,0.5216,POSITIVE,0.885
12/8/2024,Ukraine Reaches Klischiivka But Retreats in Kharkiv: What Next?,215K views,0.52,NEGATIVE,0.8966
12/8/2024,Spain’s Election Explained: Why the Right Failed,317K views,0.5164,POSITIVE,0.887
12/8/2024,Ukraine Advances Around Bakhmut: What Next?,253K views,0.5219,NEGATIVE,0.905
12/8/2024,Will the EU finally sign a trade deal with South America?,281K views,0.5341,NEGATIVE,0.8995
12/8/2024,Ukraine Grain Deal: Why is Russia Withdrawing?,156K views,0.5303,NEGATIVE,0.9063
12/8/2024,Ukraine Attacks the Kerch Bridge: Will Putin Escalate?,279K views,0.5209,NEGATIVE,0.9388
12/8/2024,Why Poland has a Surprisingly Liberal Immigration Policy,212K views,0.5258,NEGATIVE,0.897
12/8/2024,Have Ukraine and NATO Fallen Out?,165K views,0.5203,NEGATIVE,0.9095
12/8/2024,Could Turkey Actually Join the EU?,260K views,0.5241,NEGATIVE,0.9008
12/8/2024,Why Turkey let Sweden into NATO,722K views,0.5238,NEGATIVE,0.9124
12/8/2024,The Dutch Government Collapses: What Happens Next?,249K views,0.5235,NEGATIVE,0.8902
12/8/2024,TLDR's Race Across Europe - Episode 5,41K views,0.5187,NEGATIVE,0.9094
12/8/2024,Will Finland’s new Right-Wing Government Collapse?,202K views,0.5264,NEGATIVE,0.8937
12/8/2024,Why Russia’s Currency is Declining,356K views,0.5369,NEGATIVE,0.9223
12/8/2024,Will Wagner Invade Ukraine from Belarus?,259K views,0.5211,NEGATIVE,0.9221
12/8/2024,Will Turkey Ever Let Sweden into NATO?,262K views,0.5285,NEGATIVE,0.9146
12/8/2024,TLDR's Race Across Europe - Episode 4,43K views,0.5192,NEGATIVE,0.9048
12/8/2024,Ukraine Crosses the Dnipro: Has the Counter-Offensive shifted to Kherson?,409K views,0.5182,NEGATIVE,0.9112
12/8/2024,Why the EU Wants a Trade War with China,223K views,0.528,NEGATIVE,0.9169
12/8/2024,TLDR's Race Across Europe - Episode 3,45K views,0.5204,NEGATIVE,0.902
12/8/2024,Is Wagner’s Mutiny the Beginning of the End for Putin?,336K views,0.5188,NEGATIVE,0.9195
12/8/2024,How will Wagner’s Mutiny affect Ukraine on the Battlefield?,276K views,0.5188,NEGATIVE,0.9119
12/8/2024,Wagner's Attempted Coup: What The Hell Just Happened,726K views,0.5168,NEGATIVE,0.9102
12/8/2024,Why NATO Can’t Agree on Ukraine’s Accession,136K views,0.525,NEGATIVE,0.8967
12/8/2024,Armenia & Azerbaijan’s New Border Dispute Explained (The Zangezur Corridor),143K views,0.5192,NEGATIVE,0.9053
12/8/2024,Ukraine’s Counter-Offensive Pauses: What Happens Next?,303K views,0.5227,NEGATIVE,0.9159
12/8/2024,Is Germany about to Send Tanks to Ukraine?,165K views,0.5254,NEGATIVE,0.9323
12/8/2024,Europeans Are More Optimistic About the EU: Why?,946K views,0.5199,NEGATIVE,0.8816
12/8/2024,TLDR's Race Across Europe - Episode 2,54K views,0.5251,NEGATIVE,0.9106
12/8/2024,Ukraine Battlefield Update: Will Russia Capture Donbas?,301K views,0.5165,NEGATIVE,0.9064
12/8/2024,"Is the West getting tired of Ukraine? (no, not really)",97K views,0.5218,NEGATIVE,0.906
12/8/2024,Why has the Right-Wing AfD become so Popular in Germany?,419K views,0.5217,NEGATIVE,0.8931
12/8/2024,The G7 Price Cap is Working Surprisingly Well,879K views,0.5215,NEGATIVE,0.9339
12/8/2024,Could Russia Become a Failed State?,673K views,0.52,NEGATIVE,0.9075
12/8/2024,Why the EU is Annoyed with Hungary (Again),345K views,0.5195,NEGATIVE,0.9171
12/8/2024,Will Erdogan ever let Sweden and Finland join NATO?,334K views,0.5287,NEGATIVE,0.9223
12/8/2024,Why Russia is trying to Shut Down the Wagner Group,382K views,0.5223,NEGATIVE,0.918
12/8/2024,Why Russia Can't Make Progress in Ukraine,341K views,0.5164,NEGATIVE,0.9038
12/8/2024,Could Sweden's Housing Crisis Spread Across Europe?,403K views,0.5292,NEGATIVE,0.9141
12/8/2024,Putin Tried to Blackmail Europe... it failed,497K views,0.5297,NEGATIVE,0.8961
12/8/2024,Should the West Give Putin Security Guarantees?,218K views,0.5191,NEGATIVE,0.8803
12/8/2024,Ukraine’s Counter-Offensive Continues: Can they reach Tokmak?,378K views,0.5245,NEGATIVE,0.9091
12/8/2024,Europe's Far-Right Resurgence in 2022,220K views,0.5266,POSITIVE,0.8843
12/8/2024,Why hasn’t Russia Won the Cyber War?,257K views,0.528,NEGATIVE,0.9206
12/8/2024,Violence in Kosovo: Will Serbia Send in the Army?,282K views,0.5188,NEGATIVE,0.9119
12/8/2024,Why Germany’s Economy is in Trouble,221K views,0.5265,NEGATIVE,0.8988
12/8/2024,Winter is Hurting Russia's Invasion: Can They Survive?,463K views,0.5221,NEGATIVE,0.923
12/8/2024,Ukraine’s Drone Strikes are Bad News for Putin,409K views,0.5198,NEGATIVE,0.9243
12/8/2024,TLDR's Race Across Europe - Episode 1,106K views,0.5209,NEGATIVE,0.9074
12/8/2024,Ukraine Attacks in Zaporizhia: Can they reach Crimea?,477K views,0.5213,NEGATIVE,0.9031
12/8/2024,Why Bulgaria’s New Government is Good News for Ukraine,199K views,0.5243,NEGATIVE,0.919
