Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/26/2024,03:40:59,Semaject Wins Top Honors at Canadian Peptide Association Awards for Best Overall Peptide,NewMediaWire,STORY,https://finance.yahoo.com/news/semaject-wins-top-honors-canadian-034059065.html,0.522,POSITIVE,1.0
11/27/2024,22:40:09,SOXX Has $297.6M in Inflows,etf.com,STORY,https://finance.yahoo.com/m/0cb2d787-8480-39f5-9f78-d5d98f10b2cc/soxx-has-%24297.6m-in-inflows.html,0.5,NEGATIVE,0.617
11/27/2024,22:37:00,The Pekuakamiulnuatsh First Nation celebrates the decision of the Supreme Court of Canada,CNW Group,STORY,https://finance.yahoo.com/news/pekuakamiulnuatsh-first-nation-celebrates-decision-223700711.html,0.512,POSITIVE,0.996
11/27/2024,22:33:00,"HealthArc Joins athenahealth's Marketplace Program to Streamline Remote Care, Patient Outcomes, and Billing Process",PR Newswire,STORY,https://finance.yahoo.com/news/healtharc-joins-athenahealths-marketplace-program-223300986.html,0.511,POSITIVE,0.982
11/27/2024,22:33:00,"Microfluidics for Healthcare Application Market to grow by USD 110.2 Billion from 2024-2028, driven by compact microfluidic devices and AI-powered evolution - Technavio",PR Newswire,STORY,https://finance.yahoo.com/news/microfluidics-healthcare-application-market-grow-223300077.html,0.557,POSITIVE,0.999
11/27/2024,22:32:00,New Rally House Location Opens in Maple Grove,GlobeNewswire,STORY,https://finance.yahoo.com/news/rally-house-location-opens-maple-223200213.html,0.563,POSITIVE,0.865
11/27/2024,22:31:00,Myotonic Dystrophy Clinical Trial Pipeline Boom as Over 20 Companies Leading the Charge in Research and Development | DelveInsight,PR Newswire,STORY,https://finance.yahoo.com/news/myotonic-dystrophy-clinical-trial-pipeline-223100064.html,0.531,POSITIVE,0.984
11/27/2024,22:30:00,"Data Monetization Market to grow by USD 8.03 Billion from 2024-2028, driven by widespread adoption and AI-driven market transformation - Technavio",PR Newswire,STORY,https://finance.yahoo.com/news/data-monetization-market-grow-usd-223000835.html,0.574,POSITIVE,0.996
11/27/2024,22:30:00,"Small caps, markets under Trump, US dollar: Market Takeaways",Yahoo Finance Video,VIDEO,https://finance.yahoo.com/video/small-caps-markets-under-trump-223000963.html,0.559,NEGATIVE,0.721
11/29/2024,04:32:08,Dow Jones Futures Rise After Stock Market Thanksgiving Holiday,Investor's Business Daily,STORY,https://finance.yahoo.com/m/7f94a43e-1bb0-3a8c-8505-340a26c454c0/dow-jones-futures-rise-after.html,0.593,NEGATIVE,0.978
11/29/2024,04:23:00,"China's Wanda aims to create fund of up to $12.4 billion, Bloomberg News reports",Reuters,STORY,https://finance.yahoo.com/news/chinas-wanda-aims-create-fund-042300441.html,0.534,NEGATIVE,0.949
11/29/2024,04:21:13,LA Galaxy aim for return to MLS glory days in Conference final,AFP,STORY,https://finance.yahoo.com/m/5bc09aeb-2e6e-35bf-b2c2-d0afc9ff15be/la-galaxy-aim-for-return-to.html,0.515,POSITIVE,0.556
11/29/2024,04:20:05,"China's aging population fuels 'silver economy' boom, but profits can prove elusive",Associated Press Finance,STORY,https://finance.yahoo.com/news/chinas-aging-population-fuels-silver-042005097.html,0.512,POSITIVE,0.93
11/29/2024,04:14:00,HGC Partners with Cisco to Put AI on Cybersecurity Services,PR Newswire,STORY,https://finance.yahoo.com/news/hgc-partners-cisco-put-ai-041400987.html,0.586,POSITIVE,0.996
11/29/2024,04:10:50,Calculating The Fair Value Of Geratherm Medical AG (ETR:GME),Simply Wall St.,STORY,https://finance.yahoo.com/news/calculating-fair-value-geratherm-medical-041050323.html,0.514,NEGATIVE,0.838
11/29/2024,04:09:50,Waste pickers battle for recognition at plastic treaty talks,AFP,STORY,https://finance.yahoo.com/m/f2044eb0-f833-3148-a351-4003e500165a/waste-pickers-battle-for.html,0.504,NEGATIVE,1.0
11/29/2024,04:05:00,Cielo Announces Assignment of $2.6MM Mortgage Loan with Aldersyde Asset Sale,GlobeNewswire,STORY,https://finance.yahoo.com/news/cielo-announces-assignment-2-6mm-040500613.html,0.503,NEGATIVE,0.984
11/30/2024,13:07:00,This New Jersey man went to a store to return a carton of juice — and won $315M. How to manage a surprise windfall,Moneywise,STORY,https://finance.yahoo.com/news/jersey-man-went-store-return-130700951.html,0.552,POSITIVE,0.869
11/30/2024,13:00:47,Bluesky implements a 'more aggressive' impersonation policy,Engadget,STORY,https://finance.yahoo.com/m/8e7853e7-4cdd-4a1c-8531-b62b9bb2385d/bluesky-implements-a-%27more.html,0.503,NEGATIVE,0.989
11/30/2024,13:00:23,JPMorgan Is Opening Up New Branches In Low-Income Areas — Will It Make It Easier For You To Get a Payday Loan?,GOBankingRates,STORY,https://finance.yahoo.com/news/jpmorgan-opening-branches-low-income-130023640.html,0.545,NEGATIVE,0.974
11/30/2024,13:00:20,Tharisa PLC (TIHRF) Full Year 2024 Earnings Call Highlights: Operational Resilience Amidst ...,GuruFocus.com,STORY,https://finance.yahoo.com/news/tharisa-plc-tihrf-full-2024-130020223.html,0.591,POSITIVE,0.964
11/30/2024,13:00:16,8 Ways Smart People Save Money When Buying a Used Car,GOBankingRates,STORY,https://finance.yahoo.com/news/8-ways-smart-people-save-130016899.html,0.504,POSITIVE,0.836
11/30/2024,13:00:08,"9 Ways To Maximize the Money in Your HSA, According to Personal Finance YouTuber Tae Kim",GOBankingRates,STORY,https://finance.yahoo.com/news/9-ways-maximize-money-hsa-130008501.html,0.514,POSITIVE,0.68
11/30/2024,12:59:49,Why Is Quanta Services Inc. (PWR) Among the Best American Energy Stocks to Buy According to Hedge Funds?,Insider Monkey,STORY,https://finance.yahoo.com/news/why-quanta-services-inc-pwr-125949343.html,0.575,NEGATIVE,0.517
11/30/2024,12:57:20,2 Beaten-Down Stocks Analysts Say Could See a 2025 Reversal,TipRanks,STORY,https://finance.yahoo.com/news/2-beaten-down-stocks-analysts-125720293.html,0.519,NEGATIVE,0.988
12/02/2024,06:03:10,Exclusive-Russia's VTB does not expect Western sanctions to be lifted soon,Reuters,STORY,https://finance.yahoo.com/news/exclusive-russias-vtb-does-not-060310885.html,0.525,POSITIVE,0.674
12/02/2024,06:01:00,Recognition of Industry Partnerships at the Wonderful Indonesia Co-branding Award 2024 (WICA) hosted by the Ministry of Tourism and Creative Economy,PR Newswire,STORY,https://finance.yahoo.com/news/recognition-industry-partnerships-wonderful-indonesia-060100657.html,0.511,POSITIVE,0.998
12/02/2024,06:00:49,"Meta Platforms (META) Study Reveals Surge in Online Shopping in India’s Tier-2 and Tier-3 Cities, Driven by AI and Social Media Influencers",Insider Monkey,STORY,https://finance.yahoo.com/news/meta-platforms-meta-study-reveals-060049488.html,0.523,POSITIVE,0.979
12/02/2024,06:00:00,Arcadis reports transactions under its current share buyback program,GlobeNewswire,STORY,https://finance.yahoo.com/news/arcadis-reports-transactions-under-current-060000599.html,0.54,POSITIVE,0.853
12/02/2024,06:00:00,Voting Rights and Denominator,GlobeNewswire,STORY,https://finance.yahoo.com/news/voting-rights-denominator-060000052.html,0.503,POSITIVE,0.998
12/02/2024,06:00:00,Nokia Corporation’s Financial Calendar for 2025,GlobeNewswire,STORY,https://finance.yahoo.com/news/nokia-corporation-financial-calendar-2025-060000227.html,0.57,POSITIVE,0.602
12/02/2024,06:00:00,Start of Day Message,GlobeNewswire,STORY,https://finance.yahoo.com/news/start-day-message-060000917.html,0.508,POSITIVE,0.92
12/02/2024,06:00:00,Shops suffer worst slump since pandemic amid fears over economy,The Telegraph,STORY,https://finance.yahoo.com/m/96aec8b5-bd68-3bd1-af1c-e0f5e506420f/shops-suffer-worst-slump.html,0.502,NEGATIVE,1.0
12/04/2024,02:49:38,"Philippines says China Coast Guard fired water cannon, 'sideswiped' govt vessel",AFP,STORY,https://finance.yahoo.com/m/c7315b72-2de6-3014-b77d-e583a4d0fdad/philippines-says-china-coast.html,0.522,NEGATIVE,1.0
12/04/2024,02:45:36,Vietnam pushes electric motorbikes as pollution becomes 'unbearable',AFP,STORY,https://finance.yahoo.com/m/845513a4-c9c7-35fa-af58-4970f2930f6a/vietnam-pushes-electric.html,0.506,NEGATIVE,0.998
12/04/2024,02:41:42,Why the stock market's record-breaking run could spell bad news for investors in 2025,Business Insider,STORY,https://finance.yahoo.com/m/a4864e41-810f-3a8f-bf12-93066bf481a1/why-the-stock-market%27s.html,0.588,NEGATIVE,0.995
12/04/2024,02:41:00,Building Bridges with Fragrance:  Cultural and Economic Celebration at the  Agarwood & Rosewood International Conference,GlobeNewswire,STORY,https://finance.yahoo.com/news/building-bridges-fragrance-cultural-economic-024100056.html,0.511,POSITIVE,1.0
12/04/2024,02:38:37,US-Israeli soldier killed in Hamas attack remembered at emotional ceremony,AFP,STORY,https://finance.yahoo.com/m/229c25fb-9cea-3c2d-a033-6870d1397cf2/us-israeli-soldier-killed-in.html,0.511,POSITIVE,0.965
12/04/2024,02:37:00,UFS Ver. 4.0 Embedded Flash Memory Devices for Automotive Applications from KIOXIA Achieve Automotive SPICE CL2 Certification,Business Wire,STORY,https://finance.yahoo.com/news/ufs-ver-4-0-embedded-023700245.html,0.509,POSITIVE,0.999
12/04/2024,02:34:53,Seoul stocks sink amid S. Korea drama as Asian markets struggle,AFP,STORY,https://finance.yahoo.com/m/4e12089a-fde4-359f-a640-c4c1085cde0e/seoul-stocks-sink-amid-s..html,0.528,NEGATIVE,0.997
12/04/2024,02:32:39,Mitsubishi Corp Loses $90 Million in Suspected Copper Fraud,Bloomberg,STORY,https://finance.yahoo.com/news/mitsubishi-corp-loses-90-million-014533747.html,0.568,NEGATIVE,0.999
12/05/2024,04:12:00,Janux Therapeutics Announces Pricing of $350.0 Million Underwritten Public Offering of Common Stock and Pre-Funded Warrants,Business Wire,STORY,https://finance.yahoo.com/news/janux-therapeutics-announces-pricing-350-041200920.html,0.577,NEGATIVE,0.99
12/05/2024,04:10:00,Geely's All-new Battery Electric SUV GEELY EX5 Officially Debuts at The Hong Kong IMXpo 2024,PR Newswire,STORY,https://finance.yahoo.com/news/geelys-battery-electric-suv-geely-041000661.html,0.536,POSITIVE,0.997
12/05/2024,04:10:00,Furniture For Life Provides Valuable Insights on the Differences Between Premium and Affordable Massage Chairs,GlobeNewswire,STORY,https://finance.yahoo.com/news/furniture-life-provides-valuable-insights-041000925.html,0.505,POSITIVE,0.995
12/05/2024,04:16:02,'Miracles' and controversies in Notre Dame's renaissance,AFP,STORY,https://finance.yahoo.com/m/85756e4f-62c9-38d5-ad83-16d86866a43c/%27miracles%27-and-controversies.html,0.501,POSITIVE,0.995
12/05/2024,04:05:07,Spotlight On 3 ASX Penny Stocks With Market Caps Over A$10M,Simply Wall St.,STORY,https://finance.yahoo.com/news/spotlight-3-asx-penny-stocks-040507371.html,0.555,POSITIVE,0.965
12/05/2024,04:05:01,Undiscovered Gems With Strong Fundamentals For December 2024,Simply Wall St.,STORY,https://finance.yahoo.com/news/undiscovered-gems-strong-fundamentals-december-040501473.html,0.539,POSITIVE,0.997
12/05/2024,04:05:00,"Neusoft Collaborates with Fok Ying Tung Group on Ecological Project for ""Industry, University, Research, Education, Healthcare and Wellness"" based in Nansha, Guangzhou to Support the Construction and Development of the Guangdong-Hong Kong-Macau Greater Bay Area",PR Newswire,STORY,https://finance.yahoo.com/news/neusoft-collaborates-fok-ying-tung-040500669.html,0.535,POSITIVE,0.997
12/05/2024,04:02:09,3 Stocks That May Be Trading Below Their Estimated Value,Simply Wall St.,STORY,https://finance.yahoo.com/news/3-stocks-may-trading-below-040209342.html,0.57,NEGATIVE,1.0
12/06/2024,01:48:10,Oil prices dip as extended OPEC+ supply cuts highlight weak demand,Reuters,STORY,https://finance.yahoo.com/news/oil-prices-dip-extended-opec-014810148.html,0.524,NEGATIVE,0.905
12/06/2024,01:45:00,Golden Horse Minerals Completes IPO Offer and Acquisition Agreements,Newsfile,STORY,https://finance.yahoo.com/news/golden-horse-minerals-completes-ipo-014500774.html,0.534,POSITIVE,0.979
12/06/2024,01:44:02,What is St. Nicholas Day? How the German and Dutch holiday differs from Christmas,USA TODAY,STORY,https://finance.yahoo.com/m/7eee9f71-4a79-39f0-971b-8014a37a8d95/what-is-st.-nicholas-day%3F-how.html,0.514,NEGATIVE,0.963
12/06/2024,01:43:00,2024 China-ASEAN Marathon Begins in Fangchenggang City,GlobeNewswire,STORY,https://finance.yahoo.com/news/2024-china-asean-marathon-begins-014300948.html,0.518,POSITIVE,0.987
12/06/2024,01:42:55,"Dow Jones Futures: Market Still At Highs, Bitcoin Falls From $100K; When To Sell 'Heat' Stocks",Investor's Business Daily,STORY,https://finance.yahoo.com/m/5f6f042f-c3b7-339e-b10c-2b31b9823431/dow-jones-futures%3A-market.html,0.534,NEGATIVE,0.996
12/06/2024,01:41:37,"Super Micro Computer, Inc. (SMCI) Completes Special Committee Review; JPMorgan Highlights Key Investor Watch Points",Insider Monkey,STORY,https://finance.yahoo.com/news/super-micro-computer-inc-smci-014137884.html,0.519,POSITIVE,0.992
12/06/2024,01:36:23,Marsden Maritime Holdings (NZSE:MMH) Is Looking To Continue Growing Its Returns On Capital,Simply Wall St.,STORY,https://finance.yahoo.com/news/marsden-maritime-holdings-nzse-mmh-013623047.html,0.519,POSITIVE,0.991
12/06/2024,01:36:00,AnalytixInsight Announces Proposed Private Placement,Newsfile,STORY,https://finance.yahoo.com/news/analytixinsight-announces-proposed-private-placement-013600916.html,0.508,NEGATIVE,0.999
12/07/2024,03:35:00,Beltrami Area Service Collaborative set to meet Dec. 11,"The Bemidji Pioneer, Minn.",STORY,https://finance.yahoo.com/m/2945faa6-7591-369d-9a09-1e4b6549f766/beltrami-area-service.html,0.547,POSITIVE,0.937
12/07/2024,03:30:00,EpiVax Drives Immunogenicity Innovation in 2024: Year in Review,PR Newswire,STORY,https://finance.yahoo.com/news/epivax-drives-immunogenicity-innovation-2024-033000176.html,0.613,POSITIVE,0.998
12/07/2024,03:19:33,Ghana votes in tight presidential election race,AFP,STORY,https://finance.yahoo.com/m/a111d7e0-3cb4-3687-8fc8-ac24d58c965a/ghana-votes-in-tight.html,0.501,NEGATIVE,0.738
12/07/2024,03:08:36,South Korea president apologises but doesn't resign over martial law fiasco,AFP,STORY,https://finance.yahoo.com/m/b638beb5-9ac1-349e-a38b-935433c09d81/south-korea-president.html,0.511,NEGATIVE,0.966
12/07/2024,03:04:00,"After 112 years, Spokane City Council may stop meeting on Mondays","The Spokesman-Review, Spokane, Wash.",STORY,https://finance.yahoo.com/m/edd173b0-eee2-38e2-81b6-749375bf5632/after-112-years%2C-spokane-city.html,0.521,POSITIVE,0.658
12/07/2024,03:03:10,"Nvidia could deliver a big surprise to Wall Street that would 'power up' its profitability, analyst says",Business Insider,STORY,https://finance.yahoo.com/m/7402107d-b542-3f60-84d8-dcf8e73b235f/nvidia-could-deliver-a-big.html,0.555,NEGATIVE,0.861
12/07/2024,03:03:00,"Residents on day 3 in emergency shelter, most businesses reopen following downtown apartment fire","The Spokesman-Review, Spokane, Wash.",STORY,https://finance.yahoo.com/m/8c70800c-5bd9-3c51-a2ea-15b5b46b0f3b/residents-on-day-3-in.html,0.508,POSITIVE,0.56
12/07/2024,03:02:00,New kids-focused sports facility opening in Post Falls,"The Spokesman-Review, Spokane, Wash.",STORY,https://finance.yahoo.com/m/c7fe4427-bf71-3750-bf8a-dfae4c1d0387/new-kids-focused-sports.html,0.561,POSITIVE,0.998
12/08/2024,00:54:29,"Syria rebels say their forces control Homs, eye Damascus",AFP,STORY,https://finance.yahoo.com/m/c88a12b2-9109-34b8-b843-0ab4c76deeb6/syria-rebels-say-their-forces.html,0.497,NEGATIVE,0.926
12/08/2024,00:51:00,Gophers extend defensive coordinator Corey Hetherman’s contract through 2026,"Pioneer Press, St. Paul, Minn.",STORY,https://finance.yahoo.com/m/c214ab54-2a5e-3346-ad56-5fe379cc75e8/gophers-extend-defensive.html,0.533,NEGATIVE,0.763
12/08/2024,00:50:18,Kim Loong Resources Berhad's (KLSE:KMLOONG) Stock Has Fared Decently: Is the Market Following Strong Financials?,Simply Wall St.,STORY,https://finance.yahoo.com/news/kim-loong-resources-berhads-klse-005018479.html,0.565,POSITIVE,0.655
12/08/2024,00:48:20,"Syrian rebels claim key city of Homs, set sights on Damascus",USA TODAY,STORY,https://finance.yahoo.com/m/b816bdb0-bfc3-32e4-ae38-9c1480f75775/syrian-rebels-claim-key-city.html,0.509,NEGATIVE,0.885
12/08/2024,00:42:13,Declining Stock and Solid Fundamentals: Is The Market Wrong About Malaysia Smelting Corporation Berhad (KLSE:MSC)?,Simply Wall St.,STORY,https://finance.yahoo.com/news/declining-stock-solid-fundamentals-market-004213012.html,0.568,NEGATIVE,1.0
12/08/2024,00:41:40,South Korea ex-defence chief reportedly arrested as president hangs on,AFP,STORY,https://finance.yahoo.com/m/182180f3-f7f1-3a32-a14e-863ffdc743bd/south-korea-ex-defence-chief.html,0.514,NEGATIVE,0.997
12/08/2024,00:39:23,FACB Industries Berhad (KLSE:FACBIND) Will Pay A Larger Dividend Than Last Year At MYR0.02,Simply Wall St.,STORY,https://finance.yahoo.com/news/facb-industries-berhad-klse-facbind-003923879.html,0.57,NEGATIVE,0.893
12/08/2024,00:35:00,'Those are ships': Popular UFO reporting app buzzes with New Mexico activity,The Santa Fe New Mexican,STORY,https://finance.yahoo.com/m/4495f288-88e0-37f6-83c6-bc0d6ed463da/%27those-are-ships%27%3A-popular.html,0.547,POSITIVE,0.822
12/09/2024,01:37:17,"BYD on track to top 2024 sales goal and outsell Ford, Honda",Reuters,STORY,https://finance.yahoo.com/news/byd-track-top-2024-sales-013717759.html,0.576,POSITIVE,0.999
12/09/2024,01:34:45,Vestis (NYSE:VSTS) Eyes Growth with SME Expansion and Cost Initiatives Despite Q4 Revenue Dip,Simply Wall St.,STORY,https://finance.yahoo.com/news/vestis-nyse-vsts-eyes-growth-013445385.html,0.539,POSITIVE,0.871
12/09/2024,01:34:42,Daiichi Sankyo Company (TSE:4568) Showcases Growth at ASH and ESMO with Enhertu and DAICHIRONA Advances,Simply Wall St.,STORY,https://finance.yahoo.com/news/daiichi-sankyo-company-tse-4568-013442271.html,0.588,POSITIVE,0.999
12/09/2024,01:34:40,Sumitomo Pharma (TSE:4506) Eyes Growth with ORGOVYX Success and Key Alliances Despite Financial Strain,Simply Wall St.,STORY,https://finance.yahoo.com/news/sumitomo-pharma-tse-4506-eyes-013440659.html,0.532,POSITIVE,0.999
12/09/2024,01:34:37,"Eisai (TSE:4523) gains momentum with LEQEMBI approval in Mexico, enhancing global market presence",Simply Wall St.,STORY,https://finance.yahoo.com/news/eisai-tse-4523-gains-momentum-013437578.html,0.546,POSITIVE,0.999
12/09/2024,01:34:34,Thyssenkrupp (XTRA:TKA) faces hurdles in Steel Europe despite green tech and €4.4B net cash boost,Simply Wall St.,STORY,https://finance.yahoo.com/news/thyssenkrupp-xtra-tka-faces-hurdles-013434290.html,0.55,NEGATIVE,0.983
12/09/2024,01:34:26,Sprott (TSX:SII) Eyes Growth with New ETFs Amid High P/E Ratio and Precious Metals Demand Surge,Simply Wall St.,STORY,https://finance.yahoo.com/news/sprott-tsx-sii-eyes-growth-013426566.html,0.552,POSITIVE,0.999
12/09/2024,01:34:23,SmartCentres Real Estate Investment Trust (TSX:SRU.UN) Eyes Growth with Retail Partnerships and Dividend,Simply Wall St.,STORY,https://finance.yahoo.com/news/smartcentres-real-estate-investment-trust-013423534.html,0.533,POSITIVE,0.998
12/10/2024,02:40:46,Trump To Change Dollar Stores For Good? Dollar Tree Exec Says 'Prepared To Act',Benzinga,STORY,https://finance.yahoo.com/news/trump-change-dollar-stores-good-024046525.html,0.517,NEGATIVE,0.999
12/10/2024,02:38:08,"Veritone, Inc. (VERI) Expands AI Solutions to AWS Marketplace, Empowering Enterprises with Scalable Innovation",Insider Monkey,STORY,https://finance.yahoo.com/news/veritone-inc-veri-expands-ai-023808828.html,0.547,POSITIVE,0.998
12/10/2024,02:35:00,"Who is Luigi Mangione, arrested in connection with shooting of UnitedHealthcare CEO Brian Thompson?",NY Daily News,STORY,https://finance.yahoo.com/m/19f144a5-2dbf-3463-8cf2-41fcb0afaa3e/who-is-luigi-mangione%2C.html,0.514,NEGATIVE,0.995
12/10/2024,02:33:00,Police Find UnitedHealth Shooting Suspect in McDonald’s: ‘We Knew That Was Our Guy’,The Wall Street Journal,STORY,https://finance.yahoo.com/m/c9189e42-962a-3e6d-945c-81113240999e/police-find-unitedhealth.html,0.498,NEGATIVE,0.9
12/10/2024,02:29:00,Redbrick Connect 2024 Wraps Up Successfully Advancing the Digital Creative Ecosystem,PR Newswire,STORY,https://finance.yahoo.com/news/redbrick-connect-2024-wraps-successfully-022900027.html,0.507,POSITIVE,0.999
12/10/2024,02:29:00,TransAlta Declares Dividends,GlobeNewswire,STORY,https://finance.yahoo.com/news/transalta-declares-dividends-022900076.html,0.502,POSITIVE,0.668
12/10/2024,02:27:24,"Jim Cramer on MongoDB, Inc. (MDB): ‘Keep Track Of The Enterprise Software Stocks’",Insider Monkey,STORY,https://finance.yahoo.com/news/jim-cramer-mongodb-inc-mdb-022724440.html,0.526,NEGATIVE,0.797
12/10/2024,02:25:44,Jim Cramer on Broadcom Inc. (AVGO): ‘It Goes Down At The Report And That’s Your Chance To Pull The Trigger’,Insider Monkey,STORY,https://finance.yahoo.com/news/jim-cramer-broadcom-inc-avgo-022544232.html,0.511,NEGATIVE,0.966
12/11/2024,01:16:04,GM dumps Cruise robotaxi plans; shifts autonomy work to personal cars,USA TODAY,STORY,https://finance.yahoo.com/m/25666fe6-ad21-3487-8666-6c2dbe3d3df2/gm-dumps-cruise-robotaxi.html,0.506,NEGATIVE,0.986
12/11/2024,01:13:49,Yanks Pivot to Fried While Small Markets Worry Amid Soto Buzz,Sportico,STORY,https://finance.yahoo.com/m/2889688d-d7f6-3f4a-83aa-d09feefc3362/yanks-pivot-to-fried-while.html,0.513,NEGATIVE,0.999
12/11/2024,01:11:21,Wisconsin attorney general adds 10 charges against defendants in Trump fake elector case,USA TODAY,STORY,https://finance.yahoo.com/m/b0f2ad9f-73b0-3e61-b9cf-3ca2c37fded0/wisconsin-attorney-general.html,0.503,NEGATIVE,0.855
12/11/2024,01:09:00,Fleet Services Joins the CTTP Family of Companies,PR Newswire,STORY,https://finance.yahoo.com/news/fleet-services-joins-cttp-family-010900836.html,0.579,POSITIVE,0.991
12/11/2024,01:08:38,NY gunman had manifesto railing against health insurance,AFP,STORY,https://finance.yahoo.com/m/24d0b738-a524-37b9-946d-261280102e96/ny-gunman-had-manifesto.html,0.508,NEGATIVE,0.997
12/11/2024,01:06:59,"Dow Jones Futures: Google, Tesla Strong But Palantir, Nvidia Fall Amid Growth Woes; What To Do",Investor's Business Daily,STORY,https://finance.yahoo.com/m/0910d6b3-8e66-3cbb-a90c-db66cda870f1/dow-jones-futures%3A-google%2C.html,0.538,NEGATIVE,0.997
12/11/2024,01:05:00,MiniTool Released MovieMaker 8.0 with Multi-Track Video Editing Features,PR Newswire,STORY,https://finance.yahoo.com/news/minitool-released-moviemaker-8-0-010500910.html,0.504,POSITIVE,0.911
12/11/2024,01:03:40,Syrians search for loved ones at notorious prison after Assad regime's downfall,CBS News Videos,VIDEO,https://finance.yahoo.com/m/4785b53a-4c95-3f25-9f79-3a6cbf14ece2/syrians-search-for-loved-ones.html,0.502,NEGATIVE,0.785
12/12/2024,01:55:00,"Growth Trends in the Commercial LED Lighting Market, 2025-2030: A Forecasted $27.38 Billion Industry by 2030",GlobeNewswire,STORY,https://finance.yahoo.com/news/growth-trends-commercial-led-lighting-095500279.html,0.573,POSITIVE,0.998
