Date of Article,name,position,text,PTR Sentiment,Flair Sentiment,Flair Score
2024-12-03,Sophie Fieldwick,Marketing Manager At Bonnie Rogues Cardiff,What a fun week for the NEOS Hospitality team!  Started off decorating the venue for Christmas which really got us in the festive mood.  Then headed to the Visit Cardiff Christmas networking event taking part in the legendary quiz - we didn’t win but was still so much fun 🤣  Finally ended the week at Cardiff Rugby v Dragons down at the arms park which was a fanatic atmosphere as always and great to see Cardiff take the win!,0.5144,POSITIVE,0.9998
2024-12-03,Pavitra vora,"2nd Year BSc (Hons) Medical Biotechnology student, School of Medical and Life sciences","🌟 After a Long Wait, We Finally Made It! 🌟  The journey of planning, fundraising, and execution has been a whirlwind, but in the end, every ounce of effort paid off! 🙌 My team and I successfully brought our community service project to Desa Mentari, and it was a truly unforgettable experience.  As a beginner in Malay, I was initially hesitant to engage with the community, but my amazing teammates,,, andencouraged and guided me in every step of the way. 💪 The most heartwarming part? Despite my struggles with the language, the kids and parents welcomed me with open arms, happily engaging with our activities and even helping me along the way. Their kindness and patience touched me deeply, I am truly grateful.  Seeing the kids playing, smiling, and receiving the stationery gifts we prepared was beyond fulfilling. The joy in their eyes reminded me of why we embarked on this journey—to make even a small difference in their lives and to spread awareness about waste management.  I’m incredibly grateful to Dr., who went above and beyond to support us, guiding us toward this success. A huge thank you toas well as to everyone who has contributed in any way they could, your encouragement and generosity made this possible.  This experience has been a beautiful reminder that small changes can create large ripples. I hope our campaign left an impact, even if small, and inspired the community to embrace sustainable practices. This journey will always hold a special place in my heart.  Be reminded that every small step counts. By starting with awareness and action within our homes and communities, I believe we can move toward a cleaner, more sustainable future. 💚🌱",0.5117,POSITIVE,0.9992
2024-12-03,Terry M Saunders-Boucher,Sole proprietor Retiree Home based Accountant services,"Please read about the mercy of God. It is never too late for any soul.  The Promises of Grace and Mercy for the Dying  (Diary, 1541): “It pleases Me to grant everything souls ask of Me by saying the chaplet. When hardened sinners say it, I will fill their souls with peace, and the hour of their death will be a happy one. Write this for the benefit of distressed souls; when a soul sees and realizes the gravity of its sins, when the whole abyss of the misery into which it immersed itself is displayed before its eyes, let it not despair, but with trust let it throw itself into the arms of My mercy, as a child into the arms of its beloved mother (…). Tell them no soul that has called upon My mercy has been disappointed or brought to shame. I delight particularly in a soul that has placed its trust in My goodness. Write that when they say this chaplet in the presence of the dying, I will stand between My Father and the dying person, not as the just Judge but as the merciful Saviour”.",0.5031,POSITIVE,0.9902
2024-12-03,Zeynep Burcu Yenipinar,Female Founder | Advisor & Growth Professional | Digital Marketing Enthusiast | Sustainability and Clean Energy Supporter | Passionate Startup Builder | Branding Expert | Athlete,"Elon Musk Sues OpenAI Over Its Shift to For-Profit Status  Elon Musk has escalated his legal battle with OpenAI, filing a lawsuit to block the organization’s transition to a for-profit entity. Musk argues that this shift not only violates legal boundaries but also positions OpenAI—and its flagship product, ChatGPT—as a dominant force in artificial intelligence, potentially edging out competitors, including his own AI venture, xAI.  At the core of Musk’s complaint is the claim that OpenAI, led by CEO Sam Altman, has drifted away from its founding mission as a nonprofit dedicated to using AI for the common good. Musk points to OpenAI’s acceptance of significant funding fromin 2019 as a turning point, alleging that financial interests have overshadowed the organization’s original purpose. Musk’s legal team accuses OpenAI of engaging in monopolistic practices, arguing that the company, influenced by Microsoft and Altman, has violated federal antitrust laws. These alleged practices, according to Musk, include limiting funding opportunities for emerging AI startups, effectively stifling competition.  , however, has dismissed Musk’s claims, stating that his lawsuit lacks merit. The company emphasizes its commitment to innovation and transparency, despite the ongoing legal battle. This marks Musk’s third attempt to challenge OpenAI’s for-profit shift, following a withdrawn lawsuit in California state court and a subsequent refiling in federal court. In addition to seeking an injunction to halt OpenAI’s restructuring, Musk aims to prevent the company from entering exclusive agreements with investors that he views as anti-competitive. Meanwhile, Musk continues to grow xAI, his own AI venture, which has seen rapid valuation growth since its launch in 2023. The debate over OpenAI’s transition raises larger questions about whether the organization can remain true to its mission of serving the public good. While OpenAI has secured significant funding under its new structure, board chairman Bret Taylor has reassured stakeholders that the nonprofit arm will retain a meaningful role and a substantial stake in the company.  This hybrid approach was designed to address rising costs in AI development. However, the transition hasn’t been without controversy. Tensions over balancing profit-making with AI safety came to a head in 2023 with the temporary removal and eventual reinstatement of CEO Sam Altman, highlighting the internal struggles that accompany OpenAI’s evolving role in the tech world. This lawsuit adds another layer of complexity to the ongoing conversation about the future of AI development and the ethics of balancing , , and public interest.    Platform: Author:",0.5358,NEGATIVE,0.9934
2024-12-03,Kwenga Emmanuel Sichilongo,Group HR Business Partner at Hollard Zambia |Labour Law Expert| Talent & Performance Mgt Specialist |Founder at Plenitude Consults |Published Author |BA PA | BA LIS |MBA |LLB Student |PhD Candidate,"Small Interview Habits That Can Cost Big Opportunities  Your interview might be the most important step toward landing your dream job, but there are small habits that can cost you big opportunities. Here are some things to watch out for:  - Lack of Preparation: Not researching the company or role can make you appear uninterested. Always take the time to understand the company’s mission, values, and what the role requires.  - Arriving Late: Being late to an interview, even by a few minutes, sends the wrong message. It shows poor time management and disrespect for the interviewer’s time. Aim to arrive early and be prepared.  - Inadequate Body Language: Poor posture, avoiding eye contact, or crossing your arms can make you seem uninterested or unconfident. Positive body language like a firm handshake and good posture can leave a great impression.  - Over-talking or Under-talking: Giving overly long answers or being too brief can be detrimental. It's important to strike a balance—answer the question thoughtfully, but stay concise and to the point.  - Speaking Negatively About Past Employers: Even if you had a bad experience at your previous job, avoid bad-mouthing employers or colleagues. Focus on what you learned and how it helped you grow.  - Bad body odor- I won't much to say here, I did a full post right on this one. Key is bath and smell good. Ladies will never go for a candidate who pollutes the interview room with bad odor; they are so sensitive.  Small habits like these might seem minor, but they can make a huge difference in how you’re perceived. Pay attention to the details, and you’ll greatly increase your chances of securing the role!",0.5187,NEGATIVE,1.0
2024-12-03,Khalizan Halid,"Executive Director at Codegen Technologies Sdn Bhd (All views expressed are entirely mine, except those I copied).","Continuing the Organizational Behaviour text on  hashtag #mooington because - let's not fool ourselves, even Hunter Biden got a pardon - understanding humans is important and what you know is less than who you know...  The pantry was dimly lit, the hum of the refrigerator filling the silence. Clara and Hawthorne sat at the small table, their voices low as though the walls themselves were listening.  Clara leaned forward, her mug cradled in her hands. “Jenkins is either the luckiest intern alive or the unluckiest, depending on how you look at it.”  Hawthorne smirked, swirling the last of his coffee. “Luck? Please. That kid has the instincts of a blindfolded antelope in a cheetah’s den. Scrooge praising him? Proof that the universe has a twisted sense of humor.”  Clara chuckled softly. “Still, Tanker 8 was a good call. Saved the shipment, didn’t it?”  “Sure,” Hawthorne replied, leaning back. “But let’s not pretend it was planned. He was one sleepless night from emailing Tanker 11 just to see what happened.”  Grimshaw stood at the counter, intently dunking a tea bag into his mug. He looked engrossed, oblivious to the hushed commentary just feet away.  “I mean,” Clara said, “you can’t blame him. He’s navigating a maze where the walls move, and no one’s giving him a map.”  Hawthorne tilted his head. “And there’s Bloom. Jenkins goes in for answers, and Bloom hands him riddles. ‘Antelope this, cheetah that.’ Meanwhile, the deadline’s breathing down his neck.”  “And ,” Clara added, nodding toward the pantry door. “He’s Jenkins’ only support system. Not that the duck does anything, but he’s there.”  Hawthorne laughed quietly. “Yeah, Jenkins’ greatest ally is a duck. Says everything about this company.”  The sharp scrape of Grimshaw’s chair against the floor interrupted them. He turned, steaming mug in hand, clipboard tucked under his arm.  “Talking about Jenkins, are you?” Grimshaw asked, his tone carrying enough edge to make them sit up straighter.  “Just a casual chat,” Clara said smoothly, sipping her coffee.  “Hmm.” Grimshaw’s gaze lingered before he strode out, clipboard tapping against his side. As the door swung shut, Clara and Hawthorne exchanged a glance.  “I’m telling you,” Clara whispered, “he’s onto us.”  “Let him be,” Hawthorne muttered, draining his mug. “He’s too busy perfecting his tea.”  From the hallway came a faint moo, unmistakably ’s. Clara stifled a laugh, shaking her head. “This is turning into,” she said, “a circus.”  “Yeah,” Hawthorne agreed, standing. “And Jenkins? He’s the guy trying to tame the lions with a wooden spoon.”",0.5155,NEGATIVE,0.9981
2024-12-03,Emma Keane,Turning waffle into wine ✍️ | Polishing personal brands ✨ | Employee Advocacy Manager at Wiser 💜 | Top Copywriting Voice,"Tell me you understand words are only 7% of communication without telling me.   As you can tell, I'm a fan of gestures.  Whether I'm facilitating, speaking French, or getting overexcited about a Marvel reference, my arms are always active.  (And don't even get me started on my eyebrows.)  When it comes to communication, remember the 7/38/55 rule:  7% is spoken word 38% is tone of voice 55% is body language  Moral of the story is: it's not just 𝘸𝘩𝘢𝘵 you say, it's also how you 𝘤𝘰𝘮𝘮𝘶𝘯𝘪𝘤𝘢𝘵𝘦 it.",0.5301,POSITIVE,0.9993
2024-12-03,Rohini Anand PhD,Strategic DEI Advisor | Highly Sought-after Board Member | Published Author | Esteemed Speaker,"“I’ve had a wonderful life,” is how John D. Kemp, author of Disability Friendly and President and CEO of Lakeshore Foundation, started his conversation with me. Born missing most of his arms and legs and losing his mother when he was 15 months, John Kemp’s is a remarkable story of courage and resilience. A story that led him to play a key role as a disability advocate on the national and international stage.  Today on International Day of People with Disabilities, in his book John Kemp reminds us that people with disabilities make up at least 15% of the global population – more than 1 billion people- and are an underutilized talent pool. He provides us with a blueprint that organizations can use to make their workplaces disability friendly so that they can recruit and retain people with disabilities. Disability friendly workplaces make for enhanced innovation, team work and productivity that benefit all.  In my conversations with John, he credits his father who lost his wife - the love of his life- at 32 years and dedicated his life to fulfil John’s mother’s wish that John be given every opportunity in life. His father always encouraged him to do whatever he wanted including John’s childhood aspiration to be a baseball star. And he conditioned John to be independent – just as he did with John’s siblings. John described vividly his seven block walk to grade school in N Dakota in 20 degree below freezing weather and 2 feet of snow.  In addition to a roadmap for organizations to build an inclusive culture for people with disabilities, John narrates his lived experience with candor and humor. He became a student manager of a basketball team so he could vicariously fulfil his dream and went on to law school and was co-founder of the American association of People with Disabilities (AAPD).  John Kemp closed his conversation with me by quoting his father saying that everyone in the school will benefit by John being in their classroom- a great analogy for workplaces where entire teams benefit from the presence and inclusion of people with disabilities.  This International Day of People with Disabilities, I encourage you to be a disability ally and to read John’s book. As the endorsement says, Disability Friendly is a must read book for any twenty first century leader.  You can order the book here",0.5123,POSITIVE,0.9988
2024-12-03,D&R Racking LTD,"3,611 followers","Single sided Cantilever Racking available immediately, 4.5m high, 1.1m arms carrying 500kg. Up to 40 legs available. Call ☎️ 01217732121 Email 📧",0.5097,POSITIVE,0.9782
2024-12-03,Danny Townley,Got a credible business cursed with 💩 designs? 700+ Profiles visually upgraded ‣ 220+ Recommendations ‣ 50+ Brands revamped ⭐️ TruNorth Accelerator launching in January ⭐️,"After eight long weeks of no pulling exercises—thanks to Moose lunging after a squirrel and leaving me with a trapped nerve in my back—it felt awesome to finally knock out a few pull-ups again without that delightful lightning bolt shooting down my back, shoulder, and arm.  For me, exercise really is the best medicine.  Without it, I feel like a dried-up, crusty jellyfish that’s been washed ashore.  My goal is to get back to 20 pull-ups in the next few months.  What’s your secret sauce for feeling less… jellyfishy? 🪼",0.5117,POSITIVE,0.7067
2024-12-03,Dennis Ruh,Film & Media Industry Director | Film Festival Expert,"At our last jury meeting, the members of the selection committee discussed the awarding of funding from the proMOTION program of the Ukrainian Instituteand. Together with my jury colleagues,, Sergio García de Leániz & Iryna Kyporenko, we agreed on the awarding of two films, which will certainly soon be shown at international festivals. The funding will help the efficient and targeted promotion.  And these are the films to discover:  * CUBA & ALASKA by Yegor Troyanovsky, produces by,&  The documentary Cuba & Alaska follows Cuba and Alaska, two female paramedics working on the frontlines of the war in Ukraine. Before the war, Cuba was a fashion designer, and Alaska worked in media. Their lives changed dramatically, yet their friendship and dedication help them persevere. The film captures their strength, courage, and dreams of peace, despite loss and hardship.  * MILITANTROPOS by,& Simon Mozgovyi, produced by Eugene Rachkovsky for Tabor LTD  The documentary Militantropos explores the nature of war through the stories of people experiencing it. The observational film showcases how war transforms lives: some take up arms, others lose their homes, and some begin to rebuild. The film focuses on both collective and individual experiences, transitioning from wide-scale destruction to intimate human faces. Militantropos serves as both a testament to the times and an exploration of humanity’s adaptation to war.  Coming soon to a festival or movie theater near you!",0.5067,POSITIVE,1.0
2024-12-03,Gene Wahrlich,Head of Offensive Security | Driving security uplift initiatives that raise the bar,"𝐓𝐡𝐞 𝐜𝐨𝐦𝐦𝐨𝐝𝐢𝐭𝐢𝐳𝐚𝐭𝐢𝐨𝐧 𝐨𝐟 𝐩𝐞𝐧𝐞𝐭𝐫𝐚𝐭𝐢𝐨𝐧 𝐭𝐞𝐬𝐭𝐢𝐧𝐠  Pentesting now seems like a dirty word.  This struck me when I was reading Open AI’s recent post “Advancing red teaming with people and AI”, where they essentially describe pentests against their LLM. Anecdotally, it seems that suppliers are rebranding their pentest services to “red team engagements” to stay relevant.  This observation is in a market where many OG pentest vendors have been acquired and rolled in to the consulting arms of multinationals, their identity slowly being forgotten. New vendors have popped up, but they’re mostly competing on price in a race to the bottom.  Automation in the SDLC, default defences included in development frameworks, and effective EDR has also chipped away at the premise (and budget) for pentests.  𝐀𝐫𝐞 𝐩𝐞𝐧𝐭𝐞𝐬𝐭𝐬 𝐬𝐭𝐢𝐥𝐥 𝐫𝐞𝐪𝐮𝐢𝐫𝐞𝐝? 𝐎𝐫 𝐚𝐫𝐞 𝐭𝐡𝐞𝐲 𝐨𝐧𝐥𝐲 𝐟𝐨𝐫 𝐜𝐨𝐦𝐩𝐥𝐢𝐚𝐧𝐜𝐞?  Personally I think many public-facing apps would be better served by enlisting in a bug bounty program instead of a pentest.",0.518,NEGATIVE,1.0
2024-12-03,Puertos Deportivos,742 followers,🙌 El Open Arms atraca en el Port de Tarragona para dar a conocer su labor.  🚤 El barco estará atracado hasta el 8 de diciembre en la Marina Port Tarraco con visitas guiadas gratuitas para todos los públicos.  ℹ️ Más información en➡️,0.5016,POSITIVE,0.9922
2024-12-03,Ben Higham-Smith,Founder & Director @ ScaleMind AI | AI Solutions Expert,"China's AI strategy: innovate boldly, regulate tightly, and navigate the AGI future. Max Tegmark warns the U.S.-China ""AI arms race"" is a ""s**cide race"" ⚠️ Collaboration, not rivalry, is key as AGI reshapes our world.",0.5352,POSITIVE,0.883
2024-12-03,Arnaud Nuyts,Expert in International Arbitration & Litigation,"The Doctoral Thesis of Julie Esquenazi on Equality of Arms in International Litigation is indeed a true masterpiece.   Everyone who is interested in Cross-border litigation in the European Judicial Area (and who can read French) should order a copy of the dissertation when it will be published, hopefully soon, as it is now the reference work on the subject.",0.5157,POSITIVE,0.9999
2024-12-03,Global Engineer Girls,"1,033 followers","On this International Day of Persons with Disabilities, we share the incredible story of Jessica Cox—a certified pilot, motivational speaker, and the first person in the world to fly an airplane with her feet.  Born without arms, Jessica has shown the world that no obstacle is insurmountable with determination, courage, and resilience. Her journey reminds us that true strength lies in embracing our uniqueness and turning challenges into opportunities.  🎥 Watch her inspiring journey in our Reel and let her story motivate you to break your own barriers!",0.5148,POSITIVE,0.9995
2024-12-03,Apratima Biosolutions,484 followers,"Internship opportunity:  Overview: We develop protein engineering based solutions for plastic waste. The internship position is to study and document the funding and policy ecosystem in India which will be instrumental in designing the road map for the company.  Position: Internship preferably full time (Candidates interested in part time internships may also apply).  Qualification: Graduates in finance, commerce, management or relevant engineering streams.  Location: Remote.  Scope of Work: Funding for the sector 1. Describe the current landscape of foundation based funding available for finding recycling solutions for the plastic industry. This should also cover the foundations that have been investing in alternatives for plastics and focusing on circular economy projects and programs 2. Prepare list of CSR and philanthropies that provide grants and investments for the above purposes 3. Identify the investments made by HNIs in these areas – grants and investments 4. Identify the corporate venture arms of large companies that are investing in circularity and plastics  Impact measurement 1. Capture impact framework, or how the grantees and investors measure  Impact of investments Policy landscape 1. Capture the relevant policies and any developments in the policy space that may accelerate the growth of this industry 2. Identify subsidies at state and national level for the sector 3. Study the work being done by NITI Aayog and identify where the research done by the company can plug in  Desirable: Familiarity with MS office especially Excel, or Google sheets or equivalent.  Salary: Unpaid internship.  Duration: 1-2months.  Deadline: 15 Dec 24 Apply through the link:",0.5344,POSITIVE,0.9431
2024-12-03,Kevin Karaca,Growing brands through impact communications | Messaging & Behaviour Strategist @ The House Outside,"“Companies are part of the community” Hunter Lovins says at ISPO   So why don’t brands engage with community?  Most companies take a top down, arms length approach to community engagement.  Rather than stopping, talking and listening to what a community needs.backed this up with the action thatemployees took recently to save a river in the Balkans. Risking arrest, Patagonia stood by these employees. Mix this along with media campaigns, legal action and supporting the tiny local grassroots NGO to turn bulldozers around.  So the question that remains is this…  What can brands do to engage with issues their community cares about?  To me, this is the ultimate thing a business can do: empower its community (read: customers) to do good.  Thanks for the fascinating discussion,&  —  It’s great to be here withthis year. Thanks&.  💡 POW is one place brands can start to engage with their community.",0.5214,POSITIVE,0.9957
2024-12-03,Abdul Rafay,Blogger at 47 update hub,"Wars, regional tensions drove an increase in global arms sales in 2023, survey finds",0.6005,POSITIVE,0.6699
2024-12-03,Larry M.,"Captain ""Mac"" @ The Military Party #VBUSA | Military Association, Veterans' Rights Advocate Freelance Writer and Journalist","A Call to Action: Reviving Leadership and Responsibility in America  General Michael Flynn’s recent message serves as a powerful reminder of the profound responsibility each generation bears in shaping our nation’s destiny.  His words cut through the noise of modern distractions, offering a stark critique of how far we’ve drifted from the ideals of service, sacrifice, and steadfast leadership that once defined America.  Our generation, as Flynn notes, has too often chosen comfort over courage, consumerism over contribution, and feelings over principles.  We lament the lack of inspiring leaders, yet fail to foster the conditions for such leaders to emerge. Instead, we elect those who soothe rather than challenge us—leaders driven by optics, not by moral conviction or a commitment to enduring greatness.  Flynn’s call underscores a deeper truth: the erosion of our foundational institutions is not solely the fault of politicians or bureaucracies. It reflects our collective inaction. By prioritizing self-interest over service, we have allowed the very pillars of our republic to falter.  However, hope remains. As Flynn points out, we are blessed with an opportunity to reclaim our position as a beacon of freedom and strength. True leaders must rise—those willing to take risks, stand firm on principle, and endure the trials necessary to secure a better future. But this requires more than words; it demands participation, sacrifice, and a commitment to teaching our children how to think critically and uphold enduring values.  This is a generational call to arms—not of war, but of renewal.  We must seize this moment to restore America’s greatness, not through empty rhetoric but through action, faith, and a recommitment to what it truly means to lead the free world.  Captain Mac 🇺🇸💪🔱",0.5098,POSITIVE,0.9992
2024-12-03,Yena Zhan,"Senior HR Director, Greater China","As we celebrate the International Day of Persons with Disability today, I want to share my recent experience with a temporary disability.  A few months ago, I broke my right arm, leaving my dominant hand and arm with limited functionality for about three months. This experience has given me valuable reflections in many ways.  Firstly, technology has been a game-changer. Despite my limitations, my work efficiency remained unaffected. My colleagues were amazed at how swiftly I could respond using just my left hand. When I revealed that our laptops have a voice input function in any language, they were astonished. I, too, was pleasantly surprised when I reached out to the Accenture Access Support Center and discovered that this feature was already available on all our laptops.  Secondly, an inclusive culture makes a world of difference. I was scheduled to facilitate a virtual global leadership program in October, but I felt overwhelmed by the preparation and facilitation required with just one hand. When I informed the faculty committee about my situation, they responded with understanding and care. This support made me even more committed to contributing after I recover. It showcases how inclusiveness boosts employee engagement.  Lastly, disability can unleash hidden potentials. I found myself putting contact lenses in with one hand and gaining a newfound curiosity for technologies that enhance accessibility.  If there is loss, there is also gain. This experience reminds us to embrace differences, uncover and support the unique talents of people with disabilities with technology and create an environment where their strengths are celebrated!",0.5212,POSITIVE,0.9997
2024-12-03,Muhammad Imran,Civil Engineering Enthusiast | Student at Obafemi Awolowo University | Dedicated to Transforming Ideas into Sustainable Realities,"🌟 Engineering Marvels in Action: The Unsung Heroes of Infrastructure! 🌟  Ever wondered how roads stay functional during heavy rains or why railways rarely succumb to flooding? Meet the culvert—a brilliant civil engineering innovation that keeps water flowing safely beneath roads, railways, and other structures. With its diverse shapes like boxes, rings, and arches, this humble yet crucial structure ensures proper drainage, flood control, wildlife passage, and more.  As a proud Civil Engineering student at Obafemi Awolowo University (OAU), I'm thrilled to share this educational piece courtesy of Metrobuilders_OAU, our department's creative arm. Let’s take a moment to appreciate how such innovations make our everyday lives smoother, safer, and more efficient.  A big shoutout to OAU's Civil Engineering Department and all the passionate minds driving engineering solutions in Nigeria and beyond.  💡 Next time you spot a culvert, give it a nod of appreciation!",0.5189,POSITIVE,0.9996
