date,post,site sentiment,PTR Sentiment,Flair Outlook,Flair Sentiment
12/11/2024,"$brk.b $jpm 🚨 big moves coming? 🚨 bolt metals (cse: bolt) (pcrcf.us) could be next in line for a major partnership or jv! 💥 with their northwind property just 15 km from osisko's windfall gold deposit, and gold fields dropping c$2.16b to acquire osisko, the urban-barry camp is on 🔥. drill-ready targets + prime location = serious upside potential for this junior miner. could bolt be the next big gold play?",,0.5186,NEGATIVE,0.9778
12/11/2024,"$brk.b $jpm 🚨 mynz 🚨 - partnered with healthcare giant tmo (thermo fisher). - mystery 30m share offering - tmo or another big player involved? - backed by heavyweights like blackrock and vanguard via tmo. - buzz: nfl star george starke, frankie muniz, and white house advisor hints. - eu success: cancer test in 3 days, 75m patients covered - fda approval next? - strong post-rs, resilient price. big moves ahead—do your dd! 🚀",,0.516,NEGATIVE,0.8275
12/11/2024,nice bullish engulfing formed.,,0.5063,POSITIVE,0.805
12/10/2024,"if you value your portfolio, watch this 1' $pypl $ebay $nflx  youtube.com/watch?v=gw-kaos...",,0.5179,POSITIVE,0.6512
12/10/2024,313 eod!? wishful thinking.,,0.4967,NEGATIVE,0.9813
12/10/2024,good news today. price target raised to 360.,,0.58,NEGATIVE,0.612
12/10/2024,"helium’s q3 stats scream: 'decentralized telecom is here, and it’s offloading data at a rate that probably makes verizon sweat.'  🔸 88,000 gb of carrier data offloaded (+10,202%) 🔸 116k+ helium mobile subscribers 🔸 49k total hotspots: 21,800 mobile (+32%) and 27,600 iot (+9%) $hnt.x $mobile.x $atom.x $ar.x 🔸 hnt market cap: $1.3b, up 124% from $574 million",,0.537,NEGATIVE,0.9233
12/10/2024,where is santa rally?,,0.51,NEGATIVE,0.9733
12/10/2024,$xlm.x <~~~~ crypto $ma,,0.4962,NEGATIVE,0.7573
12/10/2024,$ma $xlm.x,,0.4983,NEGATIVE,0.9687
12/10/2024,$ma should have invested in these robbers a decade ago !! youtube.com/shorts/dfk_u8pd...,,0.5095,NEGATIVE,0.9716
12/10/2024,$xlm.x $ma stellar** (xlm),,0.499,NEGATIVE,0.7613
12/9/2024,: visa’s 0.8% yield might be low but growth makes up for it. 💳 buy near $300 target $320. optional play: buy $310 calls (june) for a bullish bet.,,0.5482,NEGATIVE,0.9959
12/9/2024,: visa remains a solid performer. buy under $300 and target $320 as global payment volumes grow. add this to your portfolio for stability and growth 🌐.,,0.549,POSITIVE,0.9985
12/9/2024,$dds last week to get in on dillards huge dividend of $25 a share! $uber $mrk $pep,,0.5482,NEGATIVE,0.9897
12/8/2024,join the ampire $amp.x b4 liftoff!!,,0.5017,NEGATIVE,0.5061
12/7/2024,"visa, mastercard ( $ma ), and american express ( $axp ) face rising antitrust scrutiny and potential credit card interest caps (e.g., trump’s proposed 10%). legal challenges, like $axp ’s class-action lawsuit over merchant fees, further highlight the risks.  stock outlook: • $ma / $v : regulatory risks may spur volatility but are cushioned by diversified revenues. • $axp : legal and interest rate pressures could weigh more heavily.  investors should brace for potential disruptions as regulatory and legal actions evolve.  i’ll be writing more on this…",,0.5128,NEGATIVE,0.9848
12/7/2024,$axp $ma $xrp.x  2040 would say 10% 2049  39% and 2055 99% crypto parents/transactions 1xrp 55% 2.btc 45% all alt coins dead,,0.4993,NEGATIVE,1.0
12/7/2024,$xrp.x just getting warm up after  0.5to 2.5.. 15 usd btw 2030/2035  xrp gonna take signuficant portion of all swift transactions and of credit card mkt. $ma $axp  the credit card mkt was 25 trln usd.  with daily volatility about 3-4% we r nearing us to the pos /shops acceppting xrps .  if daily vol sinks to 2% the. the pos will take xrps as payment. by the way central bank coins/banks transactions would be also switch to xrp.  bye bye corrupt swift and credit card players  better than to lay 3-4% to credit card banks.. fyi 2030,,0.5092,POSITIVE,0.5599
12/7/2024,"10 of 11 $vz $wmt if you would like to see the signals and strength indicator live applied to your favorite stocks, just send me a text message using skype where my handle there is: gemsbot. also if you or any of your trading pals are using the esignal platform you may install the gemsbot indicators and screeners, that make profitable stock picking easy on any computer … see 11/11",,0.5301,NEGATIVE,0.9938
12/6/2024,"held on to visa since 2014 after the split. damn near 10 years at share price of $67.55, 3782 shares. i am near 1 million in profit.",,0.5815,POSITIVE,0.6742
12/6/2024,"""on cyber monday, folks spent another $13 billion – marking the biggest online-shopping day ever. while spending is this high, so is credit-card debt. according to the new york federal reserve, it hit a record $1.17 trillion in the third quarter. that's up about 8% year over year. that debt growth becomes an issue when you consider that credit-card interest rates are at the highest level since the st. louis fed began tracking the data in 1994. record-high debt loads and interest rates is a bad combination for consumers. it means that folks are paying even more to just maintain their credit-card balances. at the end of the third quarter, 11.1% of credit-card balances were more than 90 days delinquent. put another way – 1 in 10 americans haven't paid their credit-card bills in more than three months. that's the highest level for delinquencies since 2012, when americans were recovering from the great recession,"" says corey mclaughlin. ",,0.5368,NEGATIVE,1.0
12/6/2024,investors filed a lawsuit against visa for misleading them about compliance with antitrust laws and the risks of regulatory investigations. you can join this case to be notified about potential recovery: 11thestate.com/cases/visa-i...,,0.5062,NEGATIVE,0.9919
12/5/2024,$nvda $nke $amzn suggested for $dji us dow jones industrial average - value screen: unclestock.com/index/dji,,0.5162,NEGATIVE,0.9992
12/5/2024,bs lawsuits….,,0.5,NEGATIVE,0.9511
12/5/2024,"here are a few key points to consider: record sales volume: the massive sales recorded on black friday indicate a robust consumer spending environment. visa, as one of the leading payment processors, is poised to see a substantial increase in transaction volumes. revenue growth: with every transaction processed, visa earns a fee, which means the higher the transaction volume, the greater the revenue. the record sales from black friday will undoubtedly contribute to an impressive revenue uptick for visa in the upcoming quarter. market position: visa's dominant position in the global payments industry ensures that it captures a significant share of the transactions, making it a reliable and lucrative investment. future prospects: the trend of increasing online and offline sales, coupled with visa's continued innovation in payment technology, positions the company for sustained growth. the holiday season typically sees elevated consumer spending, further enhancing visa's revenue potential.",,0.5651,POSITIVE,0.9977
12/5/2024,only a matter of time before it joins the party. lagging at the moment,,0.5125,NEGATIVE,1.0
12/5/2024,maybe this will bounce tomorrow..!?,,0.495,NEGATIVE,0.6589
12/5/2024,what’s the story morning glory?,,0.5075,POSITIVE,0.7562
12/5/2024,"$bb cariq and ivy are not named here... but can you say cariq and ivy without saying cariq and ivy?  that's blackberry today! car payments through simple plug and play. yes, visa that has a deal with cariq for exactly this type of thing. $amzn for ivy deal with bb arstechnica.com/cars/2024/1...",,0.5106,NEGATIVE,0.9916
12/4/2024,"$shop $afrm $pypl $sq  adobe analytics data shows record holiday season spending online, with cyber monday growing 7.3% yoy to $13.3b, and cyber week up 8.2% yoy to $41.1b. news.adobe.com/news/2024/12...",,0.5215,NEGATIVE,0.827
12/4/2024,everyone take the divi and run?? help a brother out!,,0.5075,NEGATIVE,0.9766
12/4/2024,$amzn idiots forget that buying stuff on amzn is with $ma and and $pypl,,0.5019,NEGATIVE,0.9976
12/4/2024,$spy nancy pelosi sold visa one day ago what could it be this time investigation ?,,0.5273,NEGATIVE,0.9869
12/4/2024,"$ma #mastercard added here.  @ 520.01 is at 0% vs the predicted short term trading opportunity range™ for today. traded earlier at -9% and now bouncing a bit.  pulled back to immediate uptrend line on the daily. also, it's been stronger than either $spy or , although the latter did catch back up after a couple of bigger slips...",,0.5269,NEGATIVE,0.9983
12/3/2024,"ryan mcinerney, director, chief executive officer, on november 30, 2024, sold 8,620 shares in visa (v) for $2,731,678. following the form 4 filing with the sec, mcinerney has control over a total of 247,326 shares of the company, with 39,310 shares held directly and 208,016 controlled indirectly. sec filing: sec.gov/archives/edgar/data...",,0.533,POSITIVE,0.7344
12/3/2024,$325 coming this friday,,0.5275,POSITIVE,0.8244
12/3/2024,"what is going on here? with upgrades, why is the stock moving up?",,0.6138,NEGATIVE,0.9689
12/2/2024,$ma christmas rally this year?,,0.6562,NEGATIVE,0.9415
12/2/2024,bounce to 317 tomorrow.,,0.4925,POSITIVE,0.8384
12/2/2024,these are the largest and most important companies in america allstarcharts.com/all-star-... $wmt $ma $bkng $de,,0.5341,POSITIVE,0.9816
12/2/2024,- visa chart looks great. 3rd largest holding in financials $xlf,,0.5167,POSITIVE,0.994
11/30/2024,"these are the biggest and most important companies in america, sorted by relative strength. notice how so few technology stocks are included in the list. it’s all the other stuff that’s driving this market allstarcharts.com/all-star-... $well $pltr $ma $schw",,0.5417,POSITIVE,0.7886
11/30/2024,"10 of 11 $vz $wmt if you would like to see the signals and strength indicator live applied to your favorite stocks, just send me a text message using skype where my handle there is: gemsbot. also if you or any of your trading pals are using the esignal platform you may install the gemsbot indicators and screeners, that make profitable stock picking easy on any computer … see 11/11",,0.5301,NEGATIVE,0.9938
11/30/2024,"$qqq remember how good 2017-2020 was? and how terrible 2021-2024 has been? well we going back to the carefree days of 2017-2020. there was no talk of wars, corrupt government, crime (little), crime family enriching themselves. people were just nicer and not being woke or worry about a man’s race, views or anything like that. well this is why all markets are up so much because we are going back on steroids! $aapl $msft $btc.x",,0.5161,NEGATIVE,0.9995
11/30/2024,$btc.x $aapl how to be happy.,,0.5137,POSITIVE,0.9194
11/29/2024,this stock sucks.,,0.7075,NEGATIVE,1.0
11/29/2024,"$afrm is riding a wave of optimism with a projected 64.1% earnings increase and strategic partnerships with , $aapl , $amzn , and $wmt , enhancing its market position. 💵",,0.5647,POSITIVE,0.9932
11/29/2024,come on let’s gooooo,,0.5017,POSITIVE,0.9994
11/29/2024,"| visa inc’s cross-border boom: can it continue driving its global revenue growth? - major drivers  ""visa inc. reported strong financial results for its fiscal fourth quarter and full year 2024, showcasing growth across multiple key performance..."" - baptista research (baptista research)  read more: smartkarma.com/insights/vis...",,0.5541,NEGATIVE,0.6758
11/29/2024,$xom $msft $cvx suggested for $xmi us arca major markets - value screen: unclestock.com/index/xmi,,0.5257,POSITIVE,0.6074
11/29/2024,$hd $qqq $spy i forgot pick a job that matches 401k up to 3% if not 50%. turn it to a brokerage link to take full control of investments when you open it. get it to 50/100k then quit 🫡,,0.5088,NEGATIVE,0.9999
11/29/2024,"turn 18 : step 1 work two jobs, one to pay bills the other have the checks split into two accounts, 1 savings account and 2 investment account. take out 1 credit card and use 30% no more. 5 years later. buy land with no less than 50% down. this will do two things, you own everything you build on + very low monthly payments on top of shorter contract. take another 20 grand build a starter home. every 2 years add on to the home and land. rent it out, live in an apartment. never change step 1. $spy $qqq $hd",,0.5267,POSITIVE,0.7456
11/28/2024, first target achieved. youtube.com/watch?v=-blyg41...,,0.5225,POSITIVE,0.7935
11/27/2024,this can get crazy on friday!,,0.5267,POSITIVE,0.7953
11/27/2024,320c looking good for a scalp,,0.5238,NEGATIVE,0.9077
11/27/2024,320 seems likely 👀,,0.505,NEGATIVE,0.9968
11/27/2024,"visa, $ma mastercard & $pypl paypal spending spikes on holiday",,0.5,NEGATIVE,0.9879
11/27/2024,let’s go visaaa,,0.5017,NEGATIVE,0.9774
11/27/2024,318 coming soon!,,0.5075,NEGATIVE,0.7938
11/27/2024,busting out of a gorgeous 3wt,,0.5,POSITIVE,0.9988
11/27/2024,"greatest stock ever!!!!!! still holding 150 shares from 2017 plus 50 in 2020 and another 50 earlier this year. if only bought 1k, i'd be sitting on a beach instead of working; however, will still help me retire next year.  fuck working",,0.5856,POSITIVE,0.877
11/27/2024,it’s starting to push!!!! 320 coming today!!!,,0.526,POSITIVE,0.5218
11/27/2024,pt $355,,0.505,NEGATIVE,0.8815
11/27/2024,318 today???,,0.65,NEGATIVE,0.9945
11/26/2024,5 year charts on $wm $rcl $bac,,0.624,POSITIVE,0.9831
11/26/2024,$bac $wm $wmt i guess i’m a lucky guy because i have all three of these great stocks.,,0.5185,POSITIVE,0.9515
11/26/2024,more 52 week highs $wmt $wm $bac,,0.528,POSITIVE,0.8092
11/26/2024,"my strategy? i hold this forever, and let the automation of payment transactions make me money. automation is the future and for monetary transactions this is the 100 lbs gorilla....if there is any superseding technology, they'll just buy it.",,0.5371,POSITIVE,0.9984
11/26/2024,$ma ppl don’t under stand that credit card debt has nothing to do with these companies. it’s the bank the holds the bag on this. they’re just a facilitator.,,0.5143,NEGATIVE,0.847
11/26/2024,- stock making new all time highs today after breaking out of consolidation area. stock is strong on indicators and looking to hit $320. calls looking good above $314. on watch,,0.6033,POSITIVE,0.9527
11/26/2024,2-3 week box range breakout over $312.41 on the daily with heavy volume. i expect to see continuation here in the coming sessions.,,0.5154,POSITIVE,0.9302
11/25/2024,"there’s definitely something interesting happening with the options for today. i’ve been noticing a spike in activity that feels like it’s coming from some serious players. makes you wonder if we’re gearing up for a bigger move, right? anyone else getting the sense that there’s more than meets the eye with this momentum?",,0.5092,POSITIVE,0.9988
11/25/2024,"$afrm affirm will utilise visa flexible credential for its affirm card, enabling its 1,400,000 us customers to either pay for purchases upfront or choose to pay over time. visa's partnership with affirm also reflects the growing alliance between fintechs and traditional financial players. while typically viewed as competitors, such collaborations can allow both parties to unlock new revenue streams. 💵 $mq  fintechfutures.com/2024/11/...",,0.5322,POSITIVE,0.9987
11/25/2024,$ma $fas $jpm beautiful charts,,0.499,POSITIVE,0.9987
11/25/2024,$axp $dfs $ma,,0.4983,NEGATIVE,0.9776
11/24/2024,$dds take a look at dillards.  they just announced their biggest dividend ever of $25 a share. $uber $pep $mrk,,0.5304,NEGATIVE,0.9996
11/24/2024,"americans 🇺🇸 now have a record $1,170,000,000,000 of outstanding credit card debt, up 8.1% yoy 💳 $ma $axp $dfs",,0.5013,NEGATIVE,0.9825
11/24/2024, preparing for next week . stock depth analysis. youtube.com/watch?v=-blyg41...,,0.5723,NEGATIVE,0.9246
11/24/2024,$nvda $nke $amzn suggested for $dji us dow jones industrial average - value screen: unclestock.com/index/dji,,0.5162,NEGATIVE,0.9992
11/24/2024,$brk.b $gs $jpm $ma,,0.501,POSITIVE,0.7212
11/24/2024,$fas headed to $200 $jpm $ma $gs,,0.498,NEGATIVE,0.9997
11/23/2024,easy 🤑🤑🤑,,0.5025,POSITIVE,0.8254
11/23/2024, can i get a dip here ? 🙈,,0.51,POSITIVE,0.9928
11/23/2024,"10 of 11 $vz $wmt if you would like to see the signals and strength indicator live applied to your favorite stocks, just send me a text message using skype where my handle there is: gemsbot. also if you or any of your trading pals are using the esignal platform you may install the gemsbot indicators and screeners, that make profitable stock picking easy on any computer … see 11/11",,0.5301,NEGATIVE,0.9938
11/22/2024,"$dmrc the visa looks like a gov't visa for travel, not ffs.  another of riley's half ass presentations, denuded of detail, under the guise of nda's (why do we have them if dmrc is the only game in town?) if that isn't a bullshit cover story for no sales. digimarc.com/products/digit...",,0.5219,NEGATIVE,1.0
11/22/2024,$dmrc ..not saying we are working directly with but their name is now on our site. digital security solution digimarc.com/products/digit...,,0.535,POSITIVE,0.9378
11/22/2024,$four we are the payment solution for starlink/spacex. $tsla $rklb $ma,,0.5175,POSITIVE,0.9744
11/21/2024,$googl that cant happen too many senators own $nvda in their portfolios. josh hawley is all smoke and mirrors,,0.5018,POSITIVE,0.8223
11/21/2024,$ma $cof credit card 💳 companies could be in trouble. trump and bernie sanders have both talked about capping credit card interest at 10%. youtube.com/watch?v=kabjnh6...,,0.5107,NEGATIVE,0.9956
11/21/2024,is pretty insane they are massively bigger than $mc,,0.501,NEGATIVE,0.9984
11/20/2024,"this mofo would not split, its been almost 10 years since.",,0.5242,POSITIVE,0.9903
11/20/2024,"bitcoin is now worth more than jpmorgan, visa, and mastercard combined. $btc.x $jpm $ma",,0.512,POSITIVE,0.9925
11/20/2024,"looking toppy, showing relative weakness today with bearish flow 💳🩸 sentiment around credit card companies could reverse bearish as we near trump's inauguration, considering his proposed credit card interest rate cap 🤔",,0.5157,NEGATIVE,0.999
11/20/2024,idk what to think about this price movement,,0.5238,NEGATIVE,0.597
11/20/2024,just watched some of the hearing today senator hawley ripped into visa and mastercard exposing their monopoly. something is going to change regulation wise soon.,,0.5144,NEGATIVE,0.6273
11/19/2024,immense strength trading above 3sd band,,0.511,POSITIVE,0.9992
11/19/2024, stock analysis for long term investors youtube.com/watch?v=-blyg41...,,0.579,NEGATIVE,0.8738
11/19/2024,"strong close, she’s looking ready to pop  on the daily 🔥",,0.5131,POSITIVE,0.9995
11/19/2024,- stock about to break all time highs again on daily time frame. stock is looking strong on charts. looking for calls above $312.50 for a move towards $320. stock is strong on indicators.,,0.5978,NEGATIVE,0.9951
11/19/2024, v rose 0.86%  yesterday. how will it move this week? guess the movement of visa every day and receive prize up to $100 at our service! we also provide news and summaries related. learntoearn.day/,,0.5705,NEGATIVE,0.9997
11/18/2024,looking for upside continuation on the weekly,,0.5137,NEGATIVE,0.9752
11/18/2024,"$mstr when do you think businesses will start accepting payments in $mstr shares?  they will retain all $btc.x forever, shareholders will need visa or $ma mastercard to issue a bitcoin to microstrategy to usd card.  let’s do it $mstr rocket ship!!",,0.5048,NEGATIVE,0.9976
11/18/2024,"hearings are scheduled to examine the potential for breaking the visa-mastercard duopoly on november 19, 2024. additionally, with former president trump proposing a cap on interest rates at 10%, the outlook for visa appears unfavorable. good luck longs",,0.5127,NEGATIVE,0.9995
11/18/2024,congress.gov/event/118th-co...,,0.512,NEGATIVE,0.9085
11/18/2024,10% cap on interest rates. any impact?,,0.5175,NEGATIVE,0.9809
11/17/2024,skyrocketing defaults (>10%) + proposed 10% interest rate cap….short!,,0.5029,NEGATIVE,0.9999
11/17/2024,$meta $goog $brk.b suggested for $sp100 us s&p 100 index - value screen: unclestock.com/index/sp100,,0.5173,NEGATIVE,0.9912
11/16/2024,bullish,,0.515,NEGATIVE,0.9985
11/16/2024,"$xrp.x shame i can't buy xrp as a leveraged proxy withing a tax free pot like a uk isa or sipp, similar to $mstr & $btc.x the ripple labs ipo may enable this or the likes of or $ma staking xrp would be excellent, if a tad late.",,0.5147,NEGATIVE,0.9995
11/16/2024,"10 of 11 $vz $wmt if you would like to see the signals and strength indicator live applied to your favorite stocks, just send me a text message using skype where my handle there is: gemsbot. also if you or any of your trading pals are using the esignal platform you may install the gemsbot indicators and screeners, that make profitable stock picking easy on any computer … see 11/11",,0.5301,NEGATIVE,0.9938
11/15/2024,$eth.x $btc.x blockchain is tradfi now. milkroad.com/news/visa-to-p...,,0.5145,NEGATIVE,0.8669
11/15/2024,fill that gap pls,,0.5017,POSITIVE,0.9144
11/15/2024,$spy looking good,,0.5383,POSITIVE,0.5257
11/15/2024,$afrm bullish news. george soros take big position in affirm big boys are taking position. pt $70,,0.5296,NEGATIVE,0.9991
11/15/2024,"mynz wow, this is insane news! don't miss out. the train is leaving the station. add it to your watchlist to see what happens next. 😏 $ma",,0.5163,POSITIVE,0.9861
11/15/2024,"valueact reports holdings worth $3.9 billion in q3; adds meta to its portfolio; increases stake in roblox corp; exits spotify, nyt $meta $rblx $spot $dis $lyv $lsxma $expe $fsrx $kkr $nyt $flut benzinga.com/markets/equiti...",,0.5152,POSITIVE,0.8965
11/14/2024,$xlf $bcs wallstreetwaves.com/will-vi...,,0.51,NEGATIVE,0.9627
11/14/2024,$ma $dfs a lot of fees for the middlemen. bad for banks holding this debt.,,0.4989,NEGATIVE,0.9998
11/14/2024,"my cash levels are sitting at 60% after the latest run ups.    i  am  looking for some attractive investments,  i  did just buy a couple thousand $brcc today, it hit 52 week low and could be profitable next qtr.   everything i sold has been treading water and still too expensive in my opinion.",,0.5323,NEGATIVE,1.0
11/14/2024,💳 visa ( ) up slightly amid potential new regulations from the european commission. how might stricter interchange rules impact visa long-term?,,0.5391,NEGATIVE,0.9969
11/13/2024,"$spy $afrm first came and $ma , and some  people are aware of the fees associated with using credit cards/debit cards. now, we have less awareness when people select a bnpl option. it's ""interest free"" no cost to the consumer right...... let's say you choose an interest-free 4 payment plan over 6 weeks, and they charge the vendor 4%, which gets passed to the consumer in the form of a higher price. this translates to paying an annualized rate of 34.67% on your purchases. i'd argue airfare prices rising in lieu of input costs rising is a function of  bnpl offering ""affordable"" payment options, which limits demand destruction and increases prices due to the undisclosed transaction fees. fintech is just another middleman unnecessarily raising prices, taking advantage of the falling purchasing power of the middle class.",,0.5075,NEGATIVE,0.9999
11/13/2024,$pltr $coin $bitf i would just like to quickly inform you that amc is currently starting the engines....last call for the trip around the world.....please don't complain afterward.....you have been informed,,0.5145,NEGATIVE,0.8104
11/13/2024,$afrm $amzn $rddt affirm at new 52 week high pre mkt bullish news after mute cpi then affirm get shot to break big resistance at $60.25 no resistance to $70.5 price targets look for my number $65-70 this week charts don’t lie. stay tuned,,0.5367,NEGATIVE,0.9999
11/12/2024,$afrm $rddt news about visa partnership filter to analyst projections and look for upgrade numbers   price targets will be raised and look for my number $65-70 this week charts don’t lie. stay tuned.,,0.523,NEGATIVE,0.9972
11/12/2024,it’s all fun and games until … ? $jpm $unh $wm $xom,,0.5012,NEGATIVE,0.9973
11/12/2024,let’s keep going!!,,0.5183,POSITIVE,0.9563
11/12/2024,$nukk nukkleus  cross border payments. offering blockchain-enabled financial solutions that are globally accessible. offering crypto enabled payments and transfers / digital asset trading. $ma $coin,,0.5202,POSITIVE,0.7205
11/12/2024,"📈 stock performance for over the last month: opening price: $279.08 closing price: $310.92 highest price: $312.44 lowest price: $277.99 percentage change: 11.41%  📊 financial summary: revenue: 32,653,000,000 net income: 17,273,000,000 total assets: 90,499,000,000 total liabilities: 51,766,000,000 operating cash flow: n/a  note: for a secret strategy and more detailed information, please visit the link in my bio. thank you!",,0.551,NEGATIVE,0.504
11/12/2024,should be higher..,,0.6,NEGATIVE,0.9733
11/12/2024,"$jpm $unh $wm $xom failure to deliver synthetic shares is insane 🍿 hard to believe in real shares, fundamentals, supply and demand or legitimate price action where is #congress #sec #doj @teolaflare",,0.5177,NEGATIVE,1.0
11/12/2024,$765 billion was added to the crypto market cap in just the past week 📈 that's worth more than... • $wm walmart - $684b • $jpm jp morgan - $675b • visa - $601b • $unh unitedhealth - $567b • $xom exxon mobil - $530b,,0.5204,POSITIVE,0.7768
11/12/2024,$afrm,,0.5,NEGATIVE,0.9913
11/12/2024,visa partners with affirm holdings to offer flexible payments in the us: retail remains confident. $afrm stocktwits.com/news-article...,,0.5225,POSITIVE,0.9026
11/12/2024,$afrm $rddt bullish news $afrm visa partners with affirm holdings to offer flexible payments in the us: retail remains confident another big win. this should get wall street attention short term traders sell this morning then we break $60 pt set for $70 this week.,,0.527,POSITIVE,0.6934
11/12/2024,$afrm (-3.4% pre) visa teams up with affirm to launch card for flexible payments in us - reuters ooc.bz/l/47692,,0.5154,POSITIVE,0.9671
11/12/2024,$afrm visa partners with affirm holdings to offer flexible payments in the us: retail remains confident stocktwits.com/news-article...,,0.5225,POSITIVE,0.9412
11/12/2024,$bro $dhi $et $abbv,,0.5,NEGATIVE,0.9648
11/12/2024,"$afrm and partnership, let it run!!!",,0.5125,POSITIVE,0.636
11/12/2024,$afrm 🚀🚀🚀🚀🚀🚀 reuters.com/business/financ...,,0.5592,NEGATIVE,0.9744
11/12/2024,$doge.x 2.5% on trillions of dollars of transactions yearly is a ton of money something else might want. just saying,,0.5054,NEGATIVE,0.7829
11/12/2024,hope we never see less than $300 again,,0.4975,POSITIVE,0.954
11/12/2024,finally breaking out!,,0.5025,NEGATIVE,0.8409
11/11/2024,medium.com/@crescoinvestmen... $googl $xyl $pwr $amzn,,0.5071,NEGATIVE,0.9908
11/11/2024,"if max interest rate is capped at much lower levels than current, then i would imagine credit card companies may stop issuing credit cards to ""riskier"" customers. i believe high interest rate is how they hedge against delinquencies.",,0.5165,NEGATIVE,0.9674
11/11/2024,visa bullish trajectory could still have room to run. keep an eye on consumer spending trends.,,0.5092,NEGATIVE,0.9998
11/11/2024,$ma $axp just wow.,,0.4983,POSITIVE,0.8819
11/11/2024,"$eth.x $btc.x $qqq visa launching a platform to help banks tokenize real world assets on the ethereum network. ""visa has developed a new product to help banks issue fiat-backed tokens on the ethereum network. one of the first financial institutions to use the platform will be spanish bank bbva"" coindesk.com/business/2024/...",,0.5451,POSITIVE,0.9778
11/11/2024,367$,,0.5,NEGATIVE,0.8861
11/11/2024,"tencent and visa are teaming up to launch a palm-based biometric authentication payment service in singapore, marking the first time this technology expands outside china, per nikkei asia. visa credit card holders from major singaporean banks will be able to access this service, aiming to enhance secure and seamless payments.",,0.5389,POSITIVE,0.9428
11/11/2024,"$tcehy tencent, visa partnering on palm-based authentication in singapore, nikkei says tencent (tcehy) is partnering with visa (v) to launch a palm biometric authentication payment service in singapore, the technology's first expansion outside china, nikkei asia's itsuro fujino reports. the service will be available to visa credit card holders issued by major singaporean bankers, according to the report.",,0.531,NEGATIVE,0.5569
11/11/2024, not for traders.. stock market analysis youtube.com/watch?v=-blyg41...,,0.5861,NEGATIVE,0.9998
11/10/2024,this kind of crap is why i am a libertarian centrist. if i did this i would be in jail immediately. the fact pelosi said oh i didn’t know. that’s complete bs how do you not know your husband did this lol. people wonder why people are annoyed with congress this is why. this kind of advantage allows you to easily become rich using insider trading methods.,,0.53,NEGATIVE,0.9999
11/10/2024,$ma thinking of dumping all my 100 shares ma and 150 shares v.,,0.5,NEGATIVE,0.9999
11/10/2024,$doge.x yes it will be how payments and real time are facilitated in a more efficient form than the current / clearing house 2.5-% mafia like take system. 🤯🐶💴🛰🤣,,0.5188,POSITIVE,0.9993
11/9/2024, weekend thought & stock analysis youtube.com/watch?v=-blyg41...,,0.5583,NEGATIVE,0.6128
11/9/2024,gapped youtube.com/watch?v=ks3qfep...,,0.5108,NEGATIVE,0.9996
11/9/2024,"10 of 11 $vz $wmt if you would like to see the signals and strength indicator live applied to your favorite stocks, just send me a text message using skype where my handle there is: gemsbot. also if you or any of your trading pals are using the esignal platform you may install the gemsbot indicators and screeners, that make profitable stock picking easy on any computer … see 11/11",,0.5301,NEGATIVE,0.9938
